,Lung-AdenoCA::S.1,Lung-AdenoCA::S.2,Lung-AdenoCA::S.3,Lung-AdenoCA::S.4,Lung-AdenoCA::S.5,Lung-AdenoCA::S.6,Lung-AdenoCA::S.7,Lung-AdenoCA::S.8,Lung-AdenoCA::S.9,Lung-AdenoCA::S.10,Lung-AdenoCA::S.11,Lung-AdenoCA::S.12,Lung-AdenoCA::S.13,Lung-AdenoCA::S.14,Lung-AdenoCA::S.15,Lung-AdenoCA::S.16,Lung-AdenoCA::S.17,Lung-AdenoCA::S.18,Lung-AdenoCA::S.19,Lung-AdenoCA::S.20,Lung-AdenoCA::S.21,Lung-AdenoCA::S.22,Lung-AdenoCA::S.23,Lung-AdenoCA::S.24,Lung-AdenoCA::S.25,Lung-AdenoCA::S.26,Lung-AdenoCA::S.27,Lung-AdenoCA::S.28,Lung-AdenoCA::S.29,Lung-AdenoCA::S.30,Lung-AdenoCA::S.31,Lung-AdenoCA::S.32,Lung-AdenoCA::S.33,Lung-AdenoCA::S.34,Lung-AdenoCA::S.35,Lung-AdenoCA::S.36,Lung-AdenoCA::S.37,Lung-AdenoCA::S.38,Lung-AdenoCA::S.39,Lung-AdenoCA::S.40,Lung-AdenoCA::S.41,Lung-AdenoCA::S.42,Lung-AdenoCA::S.43,Lung-AdenoCA::S.44,Lung-AdenoCA::S.45,Lung-AdenoCA::S.46,Lung-AdenoCA::S.47,Lung-AdenoCA::S.48,Lung-AdenoCA::S.49,Lung-AdenoCA::S.50,Lung-AdenoCA::S.51,Lung-AdenoCA::S.52,Lung-AdenoCA::S.53,Lung-AdenoCA::S.54,Lung-AdenoCA::S.55,Lung-AdenoCA::S.56,Lung-AdenoCA::S.57,Lung-AdenoCA::S.58,Lung-AdenoCA::S.59,Lung-AdenoCA::S.60,Lung-AdenoCA::S.61,Lung-AdenoCA::S.62,Lung-AdenoCA::S.63,Lung-AdenoCA::S.64,Lung-AdenoCA::S.65,Lung-AdenoCA::S.66,Lung-AdenoCA::S.67,Lung-AdenoCA::S.68,Lung-AdenoCA::S.69,Lung-AdenoCA::S.70,Lung-AdenoCA::S.71,Lung-AdenoCA::S.72,Lung-AdenoCA::S.73,Lung-AdenoCA::S.74,Lung-AdenoCA::S.75,Lung-AdenoCA::S.76,Lung-AdenoCA::S.77,Lung-AdenoCA::S.78,Lung-AdenoCA::S.79,Lung-AdenoCA::S.80,Lung-AdenoCA::S.81,Lung-AdenoCA::S.82,Lung-AdenoCA::S.83,Lung-AdenoCA::S.84,Lung-AdenoCA::S.85,Lung-AdenoCA::S.86,Lung-AdenoCA::S.87,Lung-AdenoCA::S.88,Lung-AdenoCA::S.89,Lung-AdenoCA::S.90,Lung-AdenoCA::S.91,Lung-AdenoCA::S.92,Lung-AdenoCA::S.93,Lung-AdenoCA::S.94,Lung-AdenoCA::S.95,Lung-AdenoCA::S.96,Lung-AdenoCA::S.97,Lung-AdenoCA::S.98,Lung-AdenoCA::S.99,Lung-AdenoCA::S.100
SBS1,0.0,343.2354685311431,343.01162088562194,0.0,257.75215401207544,750.4528847436208,657.1513724260927,442.88263963417006,566.0964902241878,417.3950908935201,684.8866389725098,552.492138721127,0.0,0.0,940.7538098844732,558.1467908287077,669.0362190021276,0.0,683.3981649473291,235.46104795142526,629.0633870053103,610.8448319276253,395.94722965497584,1687.6550977260915,397.59655095293203,1396.221168184718,1264.352635238483,351.0345637350677,694.2300723642494,0.0,379.0047720315737,169.9313619301312,362.56370659829025,0.0,375.86579871607097,1120.8933503018611,0.0,552.1134490869032,0.0,371.80058527494407,0.0,690.8939887924286,514.1040151058468,0.0,1318.1864351933634,209.35053739693276,279.13445090954286,0.0,0.0,73.06403891767006,1002.0306148461525,296.2730676376124,1007.8584671287227,792.6556384469443,0.0,0.0,93.77013797122676,821.7613752207474,265.64064760380893,744.8846881125688,0.0,967.7123744685344,0.0,444.2550247172828,427.0692214755037,543.3765837819619,382.79823757445223,1412.226291797356,560.0197684453253,699.0611553890658,531.2083668857912,143.70875791678756,381.9565270425092,0.0,0.0,308.48175766795487,0.0,229.8029260039697,703.4458322502569,149.62515695959078,0.0,0.0,282.0864949444317,1178.4996189567682,501.01707575672816,362.3583859151698,382.7500831872052,0.0,208.91073047127455,828.2603455421744,855.4744397907402,423.5046266852057,348.5847794928142,539.5125436673219,570.9282872995956,0.0,1054.493335441684,405.3571559588649,321.07806314280543,0.0
SBS2,5496.333136980112,4010.170507611689,1825.7815806515473,876.6763042330391,5243.527988611837,0.0,0.0,0.0,0.0,1609.5775854647998,3387.69823271803,0.0,2152.721041240284,2532.1739087879814,3675.722098417594,2086.5030272756035,5289.849682819549,0.0,4138.261700105363,0.0,191.919106839998,0.0,452.10900810452364,0.0,3885.083160188462,0.0,0.0,3652.8351776217114,0.0,0.0,0.0,2421.8109499369357,4835.065749686848,0.0,0.0,0.0,0.0,3409.7535082766763,0.0,0.0,0.0,4155.54020004754,231.19619575314266,5575.130569541252,0.0,932.2577381176324,4242.709514195337,10647.917589210923,3918.3973905674375,273.41308401461725,886.9757735203744,3855.514590318147,2740.0172357452993,575.5764871036909,0.0,2867.3823955113103,0.0,0.0,6864.541245018773,0.0,795.277833221151,0.0,0.0,1869.3182842342055,4932.665692452018,2368.983863031752,7126.572044764046,0.0,7622.60755860543,0.0,299.5725537690775,1241.8571900188015,227.91744255101085,10038.511295381517,0.0,0.0,3947.861951803965,0.0,315.5386880414612,0.0,0.0,0.0,0.0,1135.6495785225547,1927.6416550600838,0.0,0.0,0.0,0.0,0.0,0.0,3079.140986649039,2673.3981481296073,0.0,2827.6431617055814,0.0,0.0,0.0,0.0,1965.5373475999622
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10320.852457260535,0.0,6699.127921267579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6069.374581675945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6557.707693676091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038.8972268444304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9263.082336116655,5120.374107421598,0.0,0.0,0.0,3995.0518096392384,0.0,0.0,0.0,0.0,9128.207781048084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,182387.5034367559,0.0,0.0,0.0,9847.814665001766,38625.50890665179,57737.01006413655,93042.99479382309,0.0,44432.11969403748,0.0,0.0,24552.279476026328,0.0,6333.573409993257,0.0,24332.90410491186,24751.80909102451,0.0,8920.799966242377,0.0,68213.01349756696,0.0,99733.27077072846,28963.15525885076,0.0,47426.65397685269,36346.07228214231,0.0,20182.44428556792,32192.78731253399,0.0,0.0,0.0,5685.686922494054,0.0,0.0,34770.009869277164,0.0,0.0,9079.895474386734,0.0,0.0,39250.39353805028,0.0,0.0,27741.469559983932,0.0,0.0,0.0,0.0,0.0,21849.961310007748,21100.922280084884,49300.64507696794,108074.79004017219,0.0,0.0,0.0,126694.18047588563,12213.473401924628,19694.835078139833,0.0,38130.63400094037,7668.712681990237,12346.771678187992,0.0,84984.38291437637,21026.106959111166,12120.499278749638,0.0,0.0,31160.450390802493,22386.685019221484,19172.38103997788,0.0,42972.471827899135,0.0,0.0,0.0,30102.48292979674,11706.67604782344,0.0,45174.459159602404,10234.35069164045,16729.994975258225,0.0,11355.599692336895,27373.874169893024,0.0,2199.7066340684114,39322.21742490372,44549.23668567772,2170.1017056544765,10195.01756490913,48372.32809446503,0.0,0.0,27326.557373898613,0.0
SBS5,19898.09720854365,12228.203407071273,21568.499413748814,6760.8217224493965,0.0,4433.78307797627,0.0,0.0,11143.141474593265,0.0,0.0,0.0,17662.403948208364,27172.222213249566,14317.860438716101,6314.776786522925,15775.959438089387,7060.424353028449,7046.808681764757,0.0,6816.434729825508,0.0,13213.785250372259,8899.80052229917,0.0,17049.894515390322,0.0,4360.691350329209,2505.305126000672,13614.168062879708,0.0,19576.34120317238,10911.126618159968,15236.509632312447,0.0,6078.014156146531,15637.852577191967,0.0,6511.67270019358,34213.18175342233,30264.244012571733,5856.1392542228305,9792.017382479424,23161.825479590356,6622.533547295178,3653.0070821841555,5095.606929427979,6301.028274742271,19062.384158197965,0.0,7283.740629054623,14287.180756104446,1840.9247400694712,3278.0908806191,0.0,6571.198462911205,0.0,5863.392498256798,0.0,0.0,23036.256489293417,4183.458787232768,20486.82530865002,20061.64874965064,0.0,7527.4563605283765,14604.183421160453,0.0,2929.7475698122144,0.0,0.0,2866.712035285459,0.0,16620.99185173332,49849.66889051137,1037.6050902447441,0.0,4936.783387057441,7132.160164660773,2612.1546173555557,10151.187511316448,3543.67189540506,2603.8813750136737,0.0,6601.564294873565,1656.273583527849,0.0,1925.7372748855996,0.0,7596.613808203725,1383.593974119808,0.0,5782.7400815332,0.0,0.0,3705.6832002835963,21984.291172457568,6244.169194155607,0.0,19345.70335631017
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.074951180878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.9382301045192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.1648002312495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,1825.2849238690428,0.0,3248.375111520966,0.0,0.0,0.0,0.0,0.0,5654.446398458734,3917.8078663077645,0.0,0.0,0.0,8257.483224622696,3332.0671464968777,0.0,0.0,0.0,0.0,2244.235227259268,0.0,0.0,0.0,0.0,0.0,0.0,4339.570226157877,0.0,0.0,2815.0178241985986,0.0,4753.998418895047,0.0,0.0,0.0,4995.227609861614,0.0,0.0,0.0,885.9971163410481,0.0,0.0,0.0,0.0,874.6366251645394,15091.768581432838,0.0,0.0,4997.923532048287,6176.035928515786,442.15245286953683,0.0,0.0,0.0,1409.2742285042045,23788.63674529363,2702.0531851230216,0.0,0.0,0.0,0.0,2943.5462264921102,933.8286277835083,883.1747435858088,1117.6525392316073,2816.760318307195,0.0,4166.993622421113,1500.5359247896151,378.5316421735898,2753.547561819627,2023.3312937105622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3214.335271769175,7944.798816717494,0.0,1594.2416372161201,0.0,4405.1428724978705,0.0,0.0,0.0,0.0,0.0,0.0,2206.5771148689755,0.0,0.0,7351.056462708842,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.7092975758455,926.7331698024462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.1288825939788,0.0,688.494620133246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.01607797025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.4889838815702,0.0,0.0,0.0
SBS17b,0.0,101.38437370305303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.4412204408354,0.0,3089.3701104058377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.305598247119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.9620969974341,0.0,0.0,1339.2131044956282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.763797152781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.064543319586
SBS18,0.0,0.0,3273.2295627330677,0.0,0.0,0.0,0.0,0.0,3276.474857979794,0.0,3670.25034166145,0.0,7257.585251232822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2569.194103509657,7164.06825017461,0.0,3667.578116778539,372.81129112429886,0.0,0.0,0.0,0.0,1193.8048914555866,194.06312139232978,0.0,0.0,3264.1589828023352,804.624742200331,0.0,0.0,0.0,1245.0703954471028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4118.0006520076495,0.0,0.0,0.0,308.6252888437985,0.0,0.0,0.0,3113.367758244817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.7307248732122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.2414506053974,0.0,443.1003904927968,0.0,0.0
