Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40
Eso-AdenoCA::S.1	2030	0	0	6506	0	1777	0	1980	0	7028
Eso-AdenoCA::S.2	490	0	0	3578	0	23540	2082	0	0	20636
Eso-AdenoCA::S.3	906	0	0	0	0	0	8511	4563	0	6677
Eso-AdenoCA::S.4	2372	0	0	5361	0	4426	0	0	0	0
Eso-AdenoCA::S.5	3795	0	0	0	0	1976	0	0	0	18770
Eso-AdenoCA::S.6	1632	0	0	0	0	0	71624	0	0	0
Eso-AdenoCA::S.7	1410	2578	0	3821	0	6890	11168	0	0	0
Eso-AdenoCA::S.8	3468	0	0	16766	0	1624	4243	0	0	0
Eso-AdenoCA::S.9	1421	0	0	16858	0	3211	14240	0	0	0
Eso-AdenoCA::S.10	1043	0	0	6029	0	2982	7993	0	0	20112
Eso-AdenoCA::S.11	4552	0	0	3414	0	1861	7093	3486	0	0
Eso-AdenoCA::S.12	2971	1724	0	12621	0	6110	7946	0	0	17195
Eso-AdenoCA::S.13	1241	0	0	8599	0	0	18608	0	0	0
Eso-AdenoCA::S.14	2170	0	0	0	0	2764	38219	0	0	37766
Eso-AdenoCA::S.15	2480	0	0	5863	0	6024	0	0	0	0
Eso-AdenoCA::S.16	3536	1474	0	0	0	9404	2267	0	10179	13525
Eso-AdenoCA::S.17	1759	0	0	11834	0	686	3198	0	0	0
Eso-AdenoCA::S.18	1331	0	0	3975	0	2809	1208	0	0	13812
Eso-AdenoCA::S.19	2854	0	0	3976	0	3640	730	0	0	0
Eso-AdenoCA::S.20	1776	0	0	0	0	0	85644	0	0	0
Eso-AdenoCA::S.21	1143	0	0	6386	0	8953	36317	0	0	0
Eso-AdenoCA::S.22	1446	0	0	1991	0	3060	463	4214	7378	7376
Eso-AdenoCA::S.23	1979	0	0	2581	0	9161	0	0	6315	0
Eso-AdenoCA::S.24	1411	0	0	10840	0	10298	9587	5166	0	0
Eso-AdenoCA::S.25	1567	0	0	0	0	17515	3086	0	0	12125
Eso-AdenoCA::S.26	1288	0	0	8510	0	4327	5037	0	0	17299
Eso-AdenoCA::S.27	2754	0	0	0	0	8073	3392	0	0	6263
Eso-AdenoCA::S.28	518	2528	0	11852	0	1102	13608	0	2418	0
Eso-AdenoCA::S.29	1754	1362	0	3309	0	0	1404	0	0	0
Eso-AdenoCA::S.30	1743	0	0	0	0	3571	3129	0	0	11915
Eso-AdenoCA::S.31	1404	0	0	19052	0	3729	16093	0	0	0
Eso-AdenoCA::S.32	819	0	0	0	0	9454	13555	0	0	17778
Eso-AdenoCA::S.33	1151	0	0	5775	0	2947	883	1817	0	0
Eso-AdenoCA::S.34	1119	0	0	0	0	1312	7896	0	0	0
Eso-AdenoCA::S.35	1789	0	0	0	1015	2773	1118	0	0	15821
Eso-AdenoCA::S.36	751	0	0	41791	0	6642	9173	0	0	0
Eso-AdenoCA::S.37	1072	0	0	0	0	0	4933	0	0	31614
Eso-AdenoCA::S.38	2971	0	0	15421	0	0	11869	0	0	0
Eso-AdenoCA::S.39	3366	0	0	6668	0	0	0	0	0	14526
Eso-AdenoCA::S.40	1004	0	0	2822	0	1856	7232	0	2686	0
Eso-AdenoCA::S.41	1253	3406	16271	7011	0	0	3163	0	0	0
Eso-AdenoCA::S.42	2553	0	0	13778	0	7070	1616	0	0	0
Eso-AdenoCA::S.43	2735	0	0	6878	0	0	1673	0	0	13945
Eso-AdenoCA::S.44	708	0	0	5444	0	0	10737	0	0	0
Eso-AdenoCA::S.45	2557	0	0	16608	0	5036	11388	0	8222	0
Eso-AdenoCA::S.46	994	0	0	10761	0	3224	5537	0	0	0
Eso-AdenoCA::S.47	1791	0	0	753	1810	6194	6736	0	0	0
Eso-AdenoCA::S.48	161	0	0	6133	0	2428	5073	0	0	0
Eso-AdenoCA::S.49	1090	0	0	36428	0	7742	4787	0	0	0
Eso-AdenoCA::S.50	514	0	0	11221	0	3848	16856	7575	0	0
Eso-AdenoCA::S.51	1379	0	0	15480	1961	4300	4762	8347	0	0
Eso-AdenoCA::S.52	1657	0	0	0	0	16297	9202	0	0	20621
Eso-AdenoCA::S.53	1585	0	0	6465	0	7284	4500	0	0	13814
Eso-AdenoCA::S.54	1323	0	0	3552	0	0	11712	0	0	0
Eso-AdenoCA::S.55	532	0	0	15059	0	0	22399	0	0	0
Eso-AdenoCA::S.56	1402	0	0	7616	757	962	1328	0	0	0
Eso-AdenoCA::S.57	4040	0	0	514	0	3312	2574	0	0	0
Eso-AdenoCA::S.58	2125	0	0	14074	0	0	27491	0	0	0
Eso-AdenoCA::S.59	469	0	0	19868	0	1875	12210	0	0	0
Eso-AdenoCA::S.60	1289	0	0	6481	0	9416	2762	4420	0	0
Eso-AdenoCA::S.61	3985	0	0	4591	0	10128	5544	0	0	0
Eso-AdenoCA::S.62	2556	1442	0	0	0	9978	5525	0	0	0
Eso-AdenoCA::S.63	1146	0	0	2761	0	3184	6444	2574	0	0
Eso-AdenoCA::S.64	1529	0	0	0	0	0	9619	0	0	6951
Eso-AdenoCA::S.65	605	0	0	7725	0	0	2968	0	0	5876
Eso-AdenoCA::S.66	992	0	0	19720	0	1421	14495	0	0	0
Eso-AdenoCA::S.67	2784	0	0	4134	0	3913	17755	0	0	16961
Eso-AdenoCA::S.68	1933	0	0	4159	0	4685	5997	0	0	15687
Eso-AdenoCA::S.69	1741	0	0	0	0	9604	0	0	0	7357
Eso-AdenoCA::S.70	2831	0	0	7324	0	9498	13936	0	0	0
Eso-AdenoCA::S.71	856	0	0	753	0	2642	3486	5186	0	7656
Eso-AdenoCA::S.72	3497	0	0	8008	0	17423	3820	0	0	0
Eso-AdenoCA::S.73	1207	0	0	0	0	969	6992	0	0	16820
Eso-AdenoCA::S.74	1171	0	0	6302	0	12052	0	0	0	10468
Eso-AdenoCA::S.75	1905	0	0	0	0	12152	2849	0	0	0
Eso-AdenoCA::S.76	2423	554	0	116	0	0	1304	0	0	7393
Eso-AdenoCA::S.77	1373	0	7567	2462	0	4609	600	0	0	0
Eso-AdenoCA::S.78	915	1557	0	30476	0	0	0	0	0	0
Eso-AdenoCA::S.79	3620	0	0	0	0	1335	2433	0	0	17049
Eso-AdenoCA::S.80	621	0	0	15502	0	1507	11367	7437	0	0
Eso-AdenoCA::S.81	1514	0	0	10126	0	23427	2220	6540	0	0
Eso-AdenoCA::S.82	4208	0	0	6786	0	2463	7027	0	0	8825
Eso-AdenoCA::S.83	392	0	0	17396	0	757	8422	0	0	0
Eso-AdenoCA::S.84	1508	0	0	2990	0	3367	19625	0	0	15371
Eso-AdenoCA::S.85	441	0	0	5166	0	3944	15895	0	0	9174
Eso-AdenoCA::S.86	723	0	0	27328	0	0	17508	0	0	0
Eso-AdenoCA::S.87	3367	2305	0	7021	0	2636	16770	5108	0	0
Eso-AdenoCA::S.88	622	0	0	8208	0	2304	627	2930	0	0
Eso-AdenoCA::S.89	1750	0	19067	5951	0	0	13686	0	0	0
Eso-AdenoCA::S.90	621	0	0	39716	0	1677	14179	0	0	0
Eso-AdenoCA::S.91	1797	0	0	16624	0	0	0	0	0	0
Eso-AdenoCA::S.92	1250	0	0	20463	0	6223	5563	0	0	0
Eso-AdenoCA::S.93	929	0	0	0	0	0	1918	3823	0	23248
Eso-AdenoCA::S.94	1041	0	0	28290	0	2370	17946	0	0	0
Eso-AdenoCA::S.95	1428	0	0	1168	0	0	0	0	0	12714
Eso-AdenoCA::S.96	1501	0	0	0	0	12169	0	0	0	15144
Eso-AdenoCA::S.97	2967	0	0	3243	0	5076	1984	0	0	7957
Eso-AdenoCA::S.98	2060	0	0	4315	1125	2244	5259	2424	0	0
Eso-AdenoCA::S.99	1036	0	0	19479	0	6038	0	6802	0	0
Eso-AdenoCA::S.100	1683	0	0	12639	0	4491	2456	4339	0	0
