Samples	SBS1	SBS5	SBS10a	SBS10b	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40
ColoRect-AdenoCA::S.1	1579	369	0	0	0	0	5889	0	0	0
ColoRect-AdenoCA::S.2	1509	2225	0	0	0	0	5403	0	0	5389
ColoRect-AdenoCA::S.3	2140	1672	459	0	0	0	5550	0	0	0
ColoRect-AdenoCA::S.4	2334	1583	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.5	3480	33	0	0	0	0	2588	0	0	20239
ColoRect-AdenoCA::S.6	2794	4132	0	0	0	0	0	0	0	12351
ColoRect-AdenoCA::S.7	2363	2283	0	0	0	0	3596	0	0	0
ColoRect-AdenoCA::S.8	2575	3535	0	0	0	0	0	0	1336	0
ColoRect-AdenoCA::S.9	3452	3098	0	0	0	0	3768	0	0	7152
ColoRect-AdenoCA::S.10	1286	1527	0	0	0	0	5248	0	2670	0
ColoRect-AdenoCA::S.11	3020	986	0	0	0	0	4143	0	0	11176
ColoRect-AdenoCA::S.12	1923	979	0	0	0	3909	2758	0	0	0
ColoRect-AdenoCA::S.13	3526	0	0	0	0	0	4562	0	0	10605
ColoRect-AdenoCA::S.14	2204	0	0	0	0	0	2694	0	0	18633
ColoRect-AdenoCA::S.15	1666	621	0	0	0	0	3122	0	0	4614
ColoRect-AdenoCA::S.16	2866	4409	0	0	0	0	2340	0	0	0
ColoRect-AdenoCA::S.17	2022	3389	0	0	0	0	5130	0	0	4504
ColoRect-AdenoCA::S.18	2440	4271	0	0	0	0	2927	0	0	6862
ColoRect-AdenoCA::S.19	2466	1911	0	0	0	0	7191	0	0	3484
ColoRect-AdenoCA::S.20	2699	0	0	0	0	0	3433	0	0	9652
ColoRect-AdenoCA::S.21	2603	0	0	0	0	0	5773	951	0	6946
ColoRect-AdenoCA::S.22	2460	0	0	455	0	0	0	0	0	0
ColoRect-AdenoCA::S.23	3583	6522	0	0	0	0	4479	0	0	0
