,Liver-HCC::S.1,Liver-HCC::S.2,Liver-HCC::S.3,Liver-HCC::S.4,Liver-HCC::S.5,Liver-HCC::S.6,Liver-HCC::S.7,Liver-HCC::S.8,Liver-HCC::S.9,Liver-HCC::S.10,Liver-HCC::S.11,Liver-HCC::S.12,Liver-HCC::S.13,Liver-HCC::S.14,Liver-HCC::S.15,Liver-HCC::S.16,Liver-HCC::S.17,Liver-HCC::S.18,Liver-HCC::S.19,Liver-HCC::S.20,Liver-HCC::S.21,Liver-HCC::S.22,Liver-HCC::S.23,Liver-HCC::S.24,Liver-HCC::S.25,Liver-HCC::S.26,Liver-HCC::S.27,Liver-HCC::S.28,Liver-HCC::S.29,Liver-HCC::S.30,Liver-HCC::S.31,Liver-HCC::S.32,Liver-HCC::S.33,Liver-HCC::S.34,Liver-HCC::S.35,Liver-HCC::S.37,Liver-HCC::S.38,Liver-HCC::S.39,Liver-HCC::S.40,Liver-HCC::S.41,Liver-HCC::S.42,Liver-HCC::S.43,Liver-HCC::S.44,Liver-HCC::S.45,Liver-HCC::S.46,Liver-HCC::S.47,Liver-HCC::S.48,Liver-HCC::S.49,Liver-HCC::S.50,Liver-HCC::S.52,Liver-HCC::S.53,Liver-HCC::S.54,Liver-HCC::S.55,Liver-HCC::S.56,Liver-HCC::S.57,Liver-HCC::S.58,Liver-HCC::S.59,Liver-HCC::S.60,Liver-HCC::S.61,Liver-HCC::S.62,Liver-HCC::S.63,Liver-HCC::S.64,Liver-HCC::S.65,Liver-HCC::S.66,Liver-HCC::S.67,Liver-HCC::S.68,Liver-HCC::S.69,Liver-HCC::S.70,Liver-HCC::S.71,Liver-HCC::S.72,Liver-HCC::S.73,Liver-HCC::S.74,Liver-HCC::S.75,Liver-HCC::S.76,Liver-HCC::S.77,Liver-HCC::S.78,Liver-HCC::S.79,Liver-HCC::S.80,Liver-HCC::S.81,Liver-HCC::S.82,Liver-HCC::S.83,Liver-HCC::S.84,Liver-HCC::S.85,Liver-HCC::S.86,Liver-HCC::S.87,Liver-HCC::S.88,Liver-HCC::S.89,Liver-HCC::S.90,Liver-HCC::S.91,Liver-HCC::S.92,Liver-HCC::S.93,Liver-HCC::S.94,Liver-HCC::S.95,Liver-HCC::S.96,Liver-HCC::S.97,Liver-HCC::S.98,Liver-HCC::S.99
SBS1,0.0,0.0,0.0,0.0,136.78085636198293,353.6391129820851,0.0,222.3394900461074,139.30084376812636,170.16317648040575,0.0,179.5687711900863,157.1900841896482,0.0,79.09572199499229,135.13666357144697,0.0,484.7025727806233,307.9884237836296,0.0,0.0,0.0,0.0,0.0,118.19148065894092,0.0,165.6085925891912,0.0,0.0,0.0,0.0,0.0,116.58882680640508,89.4277984388197,113.60277997521156,0.0,226.65925558187672,0.0,123.9446039102655,0.0,85.062565837812,210.0767005884622,317.8559732378043,0.0,0.0,0.0,0.0,176.0140239033448,0.0,0.0,0.0,0.0,0.0,240.86456133871206,0.0,0.0,0.0,0.0,0.0,0.0,97.72009858014115,0.0,0.0,0.0,0.0,335.3949858083803,0.0,0.0,144.24361434532227,0.0,0.0,0.0,0.0,0.0,0.0,99.76010330412807,556.2697898112311,0.0,0.0,0.0,0.0,0.0,0.0,221.49877172824188,0.0,0.0,0.0,147.57791751313798,0.0,73.65996517726673,0.0,72.63391002713563,0.0,179.09365485853056,692.0890919149347,0.0,0.0
SBS4,2939.6278936214117,4322.037013984453,0.0,0.0,2105.011977223598,0.0,0.0,156.03485232065668,0.0,0.0,2550.0011031934387,2051.415054461989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.4059112527756,0.0,2150.623174974379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3578.2164248949553,0.0,0.0,0.0,0.0,0.0,4632.133819984629,4239.053802615678,0.0,0.0,0.0,0.0,4394.976851555484,3292.901774177981,4032.9202271762706,0.0,0.0,0.0,0.0,2820.1161878000753,0.0,0.0,0.0,0.0,0.0,0.0,1160.2175367166126,1727.6348555306768,0.0,3086.9292280342884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5881.1576048909,0.0,1584.9281505040021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.247975118925,0.0,0.0,0.0,0.0
SBS5,5065.583579121985,5087.388149899123,12419.78082838808,8306.123173407708,2624.138286834049,7324.410048991386,3405.368287346215,5190.262256149108,7858.217451097849,8059.999975103739,10029.155756637541,2197.2993477777172,17798.090660258218,4786.4033032292,1248.6248885859118,9711.354875011943,6570.868228178811,2568.6953479183408,8525.545141926987,4270.714874528846,13636.054803210796,1463.1267836138213,5506.03205206248,2912.907531779309,10026.370091365918,8498.452032098872,5942.245836531758,4385.303337732599,6857.22458772282,2712.941194283934,4395.842679099655,4192.737309844457,6177.651726725527,5449.134157802644,5225.576242732335,8875.015374826178,3990.31607760187,6615.062524908749,11844.716006809089,7136.7654234640495,10033.917102685713,2396.4471674887336,11527.288665102882,7364.464159708584,11822.064847112151,9400.49030645359,12615.028832403821,7643.886657175463,9368.785517591992,10241.175178621455,8793.273034257369,3270.6730292757356,3038.4017323166163,6197.375745870314,6979.759952708853,22441.099179263176,7614.927431496409,3735.0247948456454,9575.253353792761,7821.753388304203,11212.288038600178,8765.6387327344,8806.083003277019,7313.21536769811,7264.452995292603,10585.250576646795,7163.260802292721,6549.733119297835,9632.80255392602,4617.406134635124,7070.75052268177,6068.916520090719,13380.682680220945,9640.795751341364,10100.523095953064,8040.855839971369,5557.623800272757,8377.685800385272,6268.692875868591,9007.33061708255,9366.039013113432,5435.067846210361,4558.385423623499,3083.1088991941656,20898.938089051666,9704.21411487364,3844.634706447492,8645.762048182682,3876.2910185964133,5244.7070139174675,6193.082037843274,3394.8371194010174,2069.547577045293,3156.56085611135,9100.679322537995,9877.021562274002,11728.524100419514
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS12,0.0,0.0,2415.2757409426904,0.0,0.0,1017.050501675447,2694.6847028931097,554.0772560597103,2159.294176768413,671.1617024657328,695.3050037312232,1206.9253878180666,0.0,2555.7491515643924,0.0,1085.8905307360978,5586.505338141747,1702.7242154814699,1765.5842061483277,2172.9363318700416,0.0,3032.320076851779,4795.183958461712,0.0,2355.961401930182,3505.7410520745752,0.0,0.0,2544.4333389531284,0.0,3537.8483874462095,0.0,2383.5631939213736,6301.6019128805365,3819.0957325182144,1606.841918069867,0.0,0.0,0.0,5681.200250532776,700.5672122577148,2536.434007899645,4240.609572551497,3217.6339478992663,1789.9557828923453,0.0,897.6410003691371,0.0,0.0,1837.303662878809,1173.446953816257,2480.5418834134853,0.0,0.0,2308.075845735701,0.0,11189.599758864999,0.0,5215.329640911141,1523.651249873582,0.0,2559.9447407083235,525.515360270545,596.2125194040891,1616.7367072306192,1456.6160852982748,0.0,1729.192809642912,5418.706044317127,693.2710591696205,3105.665707247307,0.0,2588.990907706623,401.0362911903876,3747.9316320087037,839.6433608945476,1730.977671007799,0.0,0.0,0.0,0.0,4851.801520532117,3619.8735716453393,1392.0425873962529,0.0,700.1290859675496,4464.520731145894,0.0,2917.934899391814,1973.890496898574,336.9320978224805,1994.5223812779109,1807.9713154785718,2762.841123491872,2204.2956598520686,2599.7659392454198,0.0
SBS16,0.0,0.0,0.0,0.0,2176.352617703146,0.0,0.0,530.2725871494413,714.2389018507005,0.0,0.0,0.0,772.984044593376,0.0,0.0,0.0,0.0,0.0,531.4240685109341,1009.7313807765354,892.4996885124956,422.989329333388,673.5595833020639,372.1915910593059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.2125927825991,0.0,0.0,0.0,0.0,2241.8164981587006,0.0,0.0,1865.0664006680563,0.0,0.0,1216.4861549906886,0.0,0.0,0.0,1366.052865099061,0.0,0.0,0.0,762.6926313990095,2096.7774376836696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.7720675169753,0.0,0.0,0.0,761.1864402493152,0.0,0.0,0.0,0.0,0.0,0.0,3123.151170240807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.3217570282452,0.0,290.29008690928663,0.0,0.0,117.62936730280381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.81698857394639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0490446347569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.29145856926914,0.0,0.0,1551.8726819944443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.11886355348554,0.0,0.0,0.0,79.32092626023038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.65276970562647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.9266185297399,0.0,0.0,750.2381726436797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.72911065266754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.3006246588683,0.0,758.315497227727,0.0,0.0
SBS19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.94786739204113,0.0,377.5231209564009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.7649766110558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4577.152036271652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.46159884089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.3952108286614,0.0,0.0,0.0,323.7083403451039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
