,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9
SBS1,15915.836290959734,9352.171457366208,7173.805696808341,24513.653057286276,11011.145117797452,10035.901463534281,4076.4493125991294,15281.438458236224,9496.50997887803
SBS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,130174.4869353174,21979.658859789597,9338.347316131138,29756.895420491775,139858.7683741467,158758.41669112988,9078.689749237506,88477.03213686025,55039.970817830486
SBS13,1835.8336926574675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,25506.993162806488,39743.79935137954,105314.78626924248,11187.004850758807,33916.36011916064,72954.15738309128,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,1768.4161774300396,0.0,0.0,2644.6646453372314,2580.9070300078733,0.0
SBS17b,0.0,2706.5359650044343,0.0,7328.718495470346,0.0,0.0,4599.556612523906,0.0,2739.034224542889
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS20,0.0,0.0,0.0,0.0,0.0,0.0,1547.8775358976145,0.0,43937.23800876284
SBS21,0.0,14609.954158387056,0.0,6214.4817883220985,0.0,0.0,0.0,0.0,39855.95180231213
SBS26,0.0,0.0,18919.695173964312,0.0,0.0,0.0,0.0,7109.974162329059,32303.301069930996
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,1127.3649229969499,0.0,0.0
SBS40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS44,26191.056077567715,23148.968837744287,3253.1903681357217,14158.706369099578,20432.14447553007,20513.882284775224,11041.90422609329,28624.27585800433,30694.366089615374
