Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::S.1	24361	0.992	3054.553	12.539%	442.172	12.356%	0.01324	0.985
Stomach-AdenoCA::S.2	14944	0.996	1701.408	11.385%	270.131	8.768%	0.01412	0.995
Stomach-AdenoCA::S.3	9907	0.989	1363.927	13.767%	203.018	14.63%	0.01594	0.977
Stomach-AdenoCA::S.4	22155	0.998	2309.511	10.424%	419.449	6.158%	0.01187	0.998
Stomach-AdenoCA::S.5	12124	0.989	1925.776	15.884%	286.674	14.936%	0.02029	0.981
Stomach-AdenoCA::S.6	20872	0.992	2529.96	12.121%	350.221	12.957%	0.01399	0.979
Stomach-AdenoCA::S.7	6217	0.994	886.377	14.257%	151.682	11.438%	0.02167	0.992
Stomach-AdenoCA::S.8	22663	0.968	4511.266	19.906%	752.663	25.443%	0.03058	0.92
Stomach-AdenoCA::S.9	22047	0.967	5375.311	24.381%	763.233	25.678%	0.04932	0.925
Stomach-AdenoCA::S.10	4663	0.987	826.212	17.718%	156.676	15.875%	0.04426	0.983
Stomach-AdenoCA::S.11	12970	0.983	2307.782	17.793%	342.283	18.638%	0.02616	0.964
Stomach-AdenoCA::S.12	12869	0.97	2137.406	16.609%	661.551	24.257%	0.02492	0.961
Stomach-AdenoCA::S.13	18153	0.977	3121.896	17.198%	510.691	21.505%	0.02985	0.94
Stomach-AdenoCA::S.14	16046	0.983	2489.043	15.512%	362.765	18.198%	0.01955	0.948
Stomach-AdenoCA::S.15	2273	0.995	346.435	15.241%	69.606	9.985%	0.03241	0.994
Stomach-AdenoCA::S.16	10407	0.975	2259.837	21.715%	470.947	22.767%	0.04484	0.966
Stomach-AdenoCA::S.17	1219	0.986	220.934	18.124%	78.527	16.911%	0.05856	0.985
Stomach-AdenoCA::S.18	12221	0.977	2350.822	19.236%	364.411	21.237%	0.03005	0.952
Stomach-AdenoCA::S.19	6989	0.984	1403.646	20.084%	242.059	19.344%	0.03374	0.978
Stomach-AdenoCA::S.20	13928	0.981	2636.648	18.931%	368.972	19.335%	0.03067	0.957
Stomach-AdenoCA::S.21	9601	0.974	3042.458	31.689%	1222.036	31.43%	0.11927	0.974
Stomach-AdenoCA::S.22	12232	0.991	1752.69	14.329%	293.502	13.521%	0.02364	0.987
Stomach-AdenoCA::S.23	8217	0.985	1347.642	16.401%	190.086	17.359%	0.02188	0.963
Stomach-AdenoCA::S.24	7996	0.971	2800.793	35.027%	694.503	24.893%	0.31385	0.969
Stomach-AdenoCA::S.25	15731	0.992	1823.488	11.592%	265.739	12.287%	0.01167	0.983
Stomach-AdenoCA::S.26	12544	0.998	1704.062	13.585%	283.482	6.864%	0.03097	0.997
Stomach-AdenoCA::S.27	29767	0.995	5413.692	18.187%	1315.979	9.954%	0.03277	0.995
Stomach-AdenoCA::S.28	7679	0.968	1558.46	20.295%	285.933	25.215%	0.052	0.937
Stomach-AdenoCA::S.29	12866	0.969	2926.057	22.743%	444.588	25.032%	0.0414	0.934
Stomach-AdenoCA::S.30	8771	0.931	2622.95	29.905%	797.422	36.971%	0.07572	0.916
Stomach-AdenoCA::S.31	6286	0.971	1381.611	21.979%	342.487	24.047%	0.05086	0.963
Stomach-AdenoCA::S.32	9218	0.977	1714.453	18.599%	280.652	21.612%	0.02707	0.951
Stomach-AdenoCA::S.33	17995	0.965	4018.423	22.331%	639.019	26.531%	0.04606	0.914
Stomach-AdenoCA::S.34	17711	0.977	3219.164	18.176%	482.35	21.536%	0.02918	0.931
Stomach-AdenoCA::S.35	11004	0.993	1489.027	13.532%	371.872	12.047%	0.01778	0.992
Stomach-AdenoCA::S.36	14534	0.984	2804.358	19.295%	538.605	17.886%	0.03038	0.979
Stomach-AdenoCA::S.37	50642	0.961	10593.985	20.919%	1627.061	27.652%	0.04277	0.826
Stomach-AdenoCA::S.38	13461	0.992	2039.303	15.15%	327.172	12.314%	0.01845	0.99
Stomach-AdenoCA::S.39	12303	0.994	1614.906	13.126%	279.78	11.002%	0.01724	0.992
Stomach-AdenoCA::S.40	14902	0.977	3486.965	23.399%	577.853	22.174%	0.06435	0.966
Stomach-AdenoCA::S.41	21946	0.977	3754.024	17.106%	566.844	21.134%	0.02465	0.924
Stomach-AdenoCA::S.42	18486	0.981	5744.003	31.072%	1106.182	20.169%	0.09445	0.978
Stomach-AdenoCA::S.43	5002	0.993	785.39	15.702%	195.95	11.416%	0.04588	0.993
Stomach-AdenoCA::S.44	27016	0.99	3618.283	13.393%	510.976	14.343%	0.01561	0.974
Stomach-AdenoCA::S.45	10312	0.988	2810.112	27.251%	476.407	16.806%	0.08171	0.986
Stomach-AdenoCA::S.46	13150	0.987	1760.828	13.39%	262.993	16.133%	0.01489	0.959
Stomach-AdenoCA::S.47	14378	0.976	2393.003	16.644%	411.208	21.675%	0.02206	0.94
Stomach-AdenoCA::S.48	11094	0.981	2412.714	21.748%	561.28	19.59%	0.04341	0.978
Stomach-AdenoCA::S.49	7452	0.987	1120.813	15.04%	153.701	16.271%	0.02007	0.963
Stomach-AdenoCA::S.50	3438	0.966	849.842	24.719%	156.56	26.126%	0.04475	0.947
Stomach-AdenoCA::S.51	15490	0.992	1829.263	11.809%	256.09	12.392%	0.01128	0.981
Stomach-AdenoCA::S.52	24779	0.995	5996.392	24.199%	1352.705	11.41%	0.13035	0.995
Stomach-AdenoCA::S.53	9611	0.988	1693.527	17.621%	243.908	15.668%	0.02514	0.98
Stomach-AdenoCA::S.54	12866	0.973	2487.292	19.332%	366.359	23.169%	0.03026	0.909
Stomach-AdenoCA::S.55	7472	0.991	1243.028	16.636%	212.408	13.604%	0.03074	0.989
Stomach-AdenoCA::S.56	18459	0.988	2728.345	14.781%	396.202	15.23%	0.01838	0.975
Stomach-AdenoCA::S.57	17754	0.985	4031.397	22.707%	872.768	17.57%	0.05338	0.983
Stomach-AdenoCA::S.58	23620	0.986	2998.83	12.696%	491.278	16.486%	0.01564	0.96
Stomach-AdenoCA::S.59	8123	0.984	1169.232	14.394%	194.831	17.839%	0.02293	0.962
Stomach-AdenoCA::S.60	18516	0.987	2549.864	13.771%	414.234	15.968%	0.01547	0.972
Stomach-AdenoCA::S.61	13056	0.978	2264.488	17.344%	387.074	21.06%	0.03054	0.952
Stomach-AdenoCA::S.62	12824	0.985	2040.775	15.914%	334.249	17.221%	0.02152	0.973
Stomach-AdenoCA::S.63	14186	0.979	3047.949	21.486%	538.456	20.759%	0.0442	0.97
Stomach-AdenoCA::S.64	6884	0.974	1504.735	21.858%	271.428	22.943%	0.03813	0.96
Stomach-AdenoCA::S.65	11599	0.996	1264.523	10.902%	314.112	8.97%	0.01405	0.996
Stomach-AdenoCA::S.66	42172	0.993	6018.681	14.272%	856.011	12.073%	0.017	0.988
Stomach-AdenoCA::S.67	23432	0.983	4016.126	17.139%	616.508	19.194%	0.02419	0.965
Stomach-AdenoCA::S.68	17444	0.994	2180.154	12.498%	324.917	11.192%	0.01397	0.99
Stomach-AdenoCA::S.69	17822	0.995	2194.646	12.314%	321.611	9.853%	0.01353	0.993
Stomach-AdenoCA::S.70	20279	0.992	2964.059	14.616%	591.607	12.641%	0.01906	0.99
Stomach-AdenoCA::S.71	8928	0.977	1677.189	18.786%	292.055	21.602%	0.02756	0.957
Stomach-AdenoCA::S.72	12071	0.99	1567.615	12.987%	222.768	14.456%	0.01519	0.972
Stomach-AdenoCA::S.73	38846	0.99	5773.563	14.863%	936.058	14.404%	0.01795	0.984
Stomach-AdenoCA::S.74	35483	0.991	6178.509	17.413%	934.341	14.699%	0.03176	0.988
Stomach-AdenoCA::S.75	22500	0.992	3870.175	17.201%	739.421	13.29%	0.02798	0.991
Stomach-AdenoCA::S.76	23559	0.987	3311.295	14.055%	507.715	16.22%	0.01614	0.968
Stomach-AdenoCA::S.77	9062	0.983	1650.315	18.211%	247.946	19.037%	0.02779	0.966
Stomach-AdenoCA::S.78	1895	0.997	275.149	14.52%	57.703	8.152%	0.04992	0.996
Stomach-AdenoCA::S.79	38018	0.993	5236.605	13.774%	756.902	12.277%	0.01508	0.988
Stomach-AdenoCA::S.80	3706	0.993	527.091	14.223%	91.226	11.515%	0.0275	0.991
Stomach-AdenoCA::S.81	13990	0.979	2775.836	19.842%	566.17	20.902%	0.03279	0.971
Stomach-AdenoCA::S.82	9501	0.982	1711.13	18.01%	274.026	19.256%	0.02565	0.967
Stomach-AdenoCA::S.83	12886	0.979	2256.163	17.509%	353.424	20.269%	0.03138	0.952
Stomach-AdenoCA::S.84	4662	0.985	867.781	18.614%	153.803	17.192%	0.02765	0.98
Stomach-AdenoCA::S.85	38230	0.997	4096.271	10.715%	597.429	7.748%	0.01079	0.996
Stomach-AdenoCA::S.86	3313	0.987	625.643	18.884%	112.102	16.062%	0.03119	0.983
Stomach-AdenoCA::S.87	12141	0.991	1507.413	12.416%	329.616	13.082%	0.01443	0.989
Stomach-AdenoCA::S.88	25876	0.991	3788.123	14.64%	819.705	13.911%	0.02384	0.988
Stomach-AdenoCA::S.89	10868	0.989	2132.449	19.621%	585.651	16.363%	0.03239	0.988
Stomach-AdenoCA::S.90	3621	0.996	597.188	16.492%	158.237	10.189%	0.02999	0.995
Stomach-AdenoCA::S.91	15460	0.987	3061.955	19.806%	516.838	16.497%	0.03617	0.983
