,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,4909.0,21532.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39931.0
ColoRect-AdenoCA::MSI-H.S.2,18830.0,18275.0,0.0,0.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,44827.0
ColoRect-AdenoCA::MSI-H.S.3,13510.0,10656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41981.0
ColoRect-AdenoCA::MSI-H.S.4,13332.0,39685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375.0,5440.0,34084.0
ColoRect-AdenoCA::MSI-H.S.5,6667.0,40122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58972.0
ColoRect-AdenoCA::MSI-H.S.6,18397.0,37123.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79855.0
ColoRect-AdenoCA::MSI-H.S.7,26448.0,24345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3821.0,40196.0
ColoRect-AdenoCA::MSI-H.S.8,3494.0,45255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11463.0,0.0,66317.0
ColoRect-AdenoCA::MSI-H.S.9,9411.0,37619.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,70533.0
ColoRect-AdenoCA::MSI-H.S.10,9801.0,60357.0,607.0,0.0,1966.0,0.0,0.0,0.0,0.0,3712.0,0.0,43867.0
ColoRect-AdenoCA::MSI-H.S.11,3232.0,12684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,0.0,7707.0
ColoRect-AdenoCA::MSI-H.S.12,19911.0,34573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89579.0
ColoRect-AdenoCA::MSI-H.S.13,16104.0,31782.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,39451.0
ColoRect-AdenoCA::MSI-H.S.14,20505.0,10644.0,0.0,0.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,24556.0
ColoRect-AdenoCA::MSI-H.S.15,43265.0,30210.0,0.0,0.0,10273.0,0.0,0.0,0.0,0.0,2048.0,0.0,18591.0
ColoRect-AdenoCA::MSI-H.S.16,3279.0,23344.0,0.0,0.0,16675.0,0.0,0.0,0.0,0.0,32905.0,0.0,70646.0
