,Stomach-AdenoCA::S.1,Stomach-AdenoCA::S.2,Stomach-AdenoCA::S.3,Stomach-AdenoCA::S.4,Stomach-AdenoCA::S.5,Stomach-AdenoCA::S.6,Stomach-AdenoCA::S.7,Stomach-AdenoCA::S.8,Stomach-AdenoCA::S.9,Stomach-AdenoCA::S.10,Stomach-AdenoCA::S.11,Stomach-AdenoCA::S.12,Stomach-AdenoCA::S.13,Stomach-AdenoCA::S.14,Stomach-AdenoCA::S.15,Stomach-AdenoCA::S.16,Stomach-AdenoCA::S.17,Stomach-AdenoCA::S.18,Stomach-AdenoCA::S.19,Stomach-AdenoCA::S.20,Stomach-AdenoCA::S.21,Stomach-AdenoCA::S.22,Stomach-AdenoCA::S.23,Stomach-AdenoCA::S.24,Stomach-AdenoCA::S.25,Stomach-AdenoCA::S.26,Stomach-AdenoCA::S.27,Stomach-AdenoCA::S.28,Stomach-AdenoCA::S.29,Stomach-AdenoCA::S.30,Stomach-AdenoCA::S.31,Stomach-AdenoCA::S.32,Stomach-AdenoCA::S.33,Stomach-AdenoCA::S.34,Stomach-AdenoCA::S.35,Stomach-AdenoCA::S.36,Stomach-AdenoCA::S.37,Stomach-AdenoCA::S.38,Stomach-AdenoCA::S.39,Stomach-AdenoCA::S.40,Stomach-AdenoCA::S.41,Stomach-AdenoCA::S.42,Stomach-AdenoCA::S.43,Stomach-AdenoCA::S.44,Stomach-AdenoCA::S.45,Stomach-AdenoCA::S.46,Stomach-AdenoCA::S.47,Stomach-AdenoCA::S.48,Stomach-AdenoCA::S.49,Stomach-AdenoCA::S.50,Stomach-AdenoCA::S.51,Stomach-AdenoCA::S.52,Stomach-AdenoCA::S.53,Stomach-AdenoCA::S.54,Stomach-AdenoCA::S.55,Stomach-AdenoCA::S.56,Stomach-AdenoCA::S.57,Stomach-AdenoCA::S.58,Stomach-AdenoCA::S.59,Stomach-AdenoCA::S.60,Stomach-AdenoCA::S.61,Stomach-AdenoCA::S.62,Stomach-AdenoCA::S.63,Stomach-AdenoCA::S.64,Stomach-AdenoCA::S.65,Stomach-AdenoCA::S.66,Stomach-AdenoCA::S.67,Stomach-AdenoCA::S.68,Stomach-AdenoCA::S.69,Stomach-AdenoCA::S.70,Stomach-AdenoCA::S.71,Stomach-AdenoCA::S.72,Stomach-AdenoCA::S.73,Stomach-AdenoCA::S.74,Stomach-AdenoCA::S.75,Stomach-AdenoCA::S.76,Stomach-AdenoCA::S.77,Stomach-AdenoCA::S.78,Stomach-AdenoCA::S.79,Stomach-AdenoCA::S.80,Stomach-AdenoCA::S.81,Stomach-AdenoCA::S.82,Stomach-AdenoCA::S.83,Stomach-AdenoCA::S.84,Stomach-AdenoCA::S.85,Stomach-AdenoCA::S.86,Stomach-AdenoCA::S.87,Stomach-AdenoCA::S.88,Stomach-AdenoCA::S.89,Stomach-AdenoCA::S.90,Stomach-AdenoCA::S.91
SBS1,1340.2714644668918,1441.4061548352795,620.8920007306881,984.4519529126264,1569.378457171139,949.3684627743412,710.4941696000875,495.13553276318777,993.71714235212,959.9256542453367,234.1499419687612,4279.704526555305,677.4174952499307,929.5387760087303,885.5938121907965,1313.022722085431,380.10388579072105,1344.187867471029,900.878893854366,1087.8513468016301,1395.8170997093932,1199.8674627242583,583.8956129778862,1073.837613055548,2051.056123227162,1095.8394460727689,1006.6571298924874,1169.7637996676146,913.0264139968335,173.55084041313623,71.89788062638372,712.9923730283496,811.7774723829634,1806.2418208413924,1418.9207455260355,5131.901301199368,1291.9044241123881,1396.1808913353439,2435.8587033723234,2543.485357103217,521.1204284378383,335.44472540055784,3404.7401250497483,941.4940689428331,87.63195611826977,489.1895481343838,1331.395218788144,2983.6718336365293,827.4392697514369,789.2362555939219,770.6140526808695,512.1379388788158,1056.0464114292977,675.4056937669435,241.26668946818654,2243.0747116116777,2378.0957534372956,1620.3971966780596,1002.7898336951694,1182.7189972336628,1230.3326494660228,1608.560134089415,3686.129970687947,950.406634196156,1268.3779493919021,2157.0981747819005,743.1455160320039,762.709980587083,742.7560264531744,1248.413252961599,322.8244395132552,382.67254543544567,939.3692814202961,988.6304509611035,890.5265765571431,1938.5427616987747,657.3925107916555,1353.674337826613,1085.1417073679288,459.8248797679638,648.9767609475368,1654.9650250966972,1160.9156136757742,229.32204878618285,780.3940647278406,978.3778791111894,3003.3552419853154,953.3933417831421,88.58505034807231,589.0517117280652,2112.3719911305543
SBS2,1613.152890975922,0.0,517.1422927930856,0.0,0.0,0.0,0.0,543.0653568537825,0.0,38.7274256594339,0.0,1067.4553204328572,328.8780388159217,0.0,0.0,0.0,648.5502371182974,0.0,0.0,240.4201477232947,0.0,332.48897785060876,305.96989562416053,842.7539122771824,0.0,0.0,0.0,196.50036994107919,0.0,264.2873300227289,113.2838265129273,0.0,0.0,0.0,1090.516829716472,497.80975485996214,0.0,591.1135082515561,0.0,0.0,0.0,0.0,0.0,1146.6196634515939,348.0596890853992,0.0,627.5533863026669,0.0,0.0,0.0,0.0,411.0672382233331,90.10125808822755,0.0,1563.4571231438586,943.0739229191173,0.0,0.0,0.0,1428.5149908037765,618.2549681476742,0.0,478.56738879505116,793.4567984087975,0.0,0.0,1138.1003304959906,0.0,1154.7257215041127,0.0,0.0,0.0,0.0,0.0,359.94017425226724,0.0,0.0,0.0,0.0,359.02099569685396,2768.5443984398476,0.0,146.50358037691177,0.0,0.0,0.0,0.0,0.0,148.52865583954207,0.0,0.0
SBS3,12438.003077276533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.533681172335264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.398499002289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33740.89362888913,0.0,0.0,0.0,0.0,4847.669190052164,0.0,15515.14387307478,1209.9660412396352,0.0,0.0,0.0,4813.334220791732,0.0,0.0,685.1929167271671,0.0,0.0,0.0,0.0,0.0,0.0,2536.8950496944926,4438.896860747246,0.0,0.0,0.0,0.0,0.0,30279.459886871744,0.0,0.0,7172.053536739793,0.0,0.0,0.0,0.0,6317.579027264308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14674.68656983425,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,3553.3693796765947,4913.871932201738,1043.515567998156,3204.0390849557307,1128.7371904458635,12355.854406134065,0.0,14717.855970861277,14693.596098341402,1677.6792840667792,7826.538783074847,4067.835961425847,15335.574212632679,8788.078343751215,60.67307291364619,3604.502222345145,0.0,8963.731445135356,2368.8905095170926,3034.532476339604,0.0,1757.771934106831,3890.1573721174814,0.0,2753.922290731793,0.0,6493.59238599374,4535.858323216693,8017.584715278992,2153.8791584940204,759.4623663570051,5674.200053474171,14431.498649139752,4916.128416215863,2616.520233430448,1397.3919622736012,0.0,6662.2385416251345,6554.030826692628,7398.258859637546,11926.928967713158,0.0,502.20495626787624,5489.968146520989,2859.5199199963427,4026.5412368139196,5979.378297119075,2785.108013213131,0.0,0.0,3924.3930703138317,0.0,1258.0248136867463,1080.121562310613,2905.853557091753,11587.251115785592,3735.551846759235,7709.583268579709,360.08742950272216,3169.6907003251176,8484.263901603223,5183.529305970757,0.0,1332.071630119878,0.0,0.0,0.0,7935.435948402294,1905.7105931373717,8762.43331837036,0.0,2237.698346987795,13944.706359113274,14296.133050677054,7153.282505507871,14111.085255838405,5475.364270982555,0.0,16624.140102985155,1105.600094759793,6498.614733658355,5337.352289114804,9554.463299545398,247.34553162212217,6069.856209911319,485.2760130604887,2162.7229149505106,0.0,3278.809852798623,0.0,7809.0565584666565
SBS13,0.0,0.0,0.0,0.0,0.0,810.9733029480971,0.0,0.0,0.0,186.4772619885043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.53124723281894,0.0,0.0,0.0,0.0,317.73743758146173,331.5232474296035,881.2333568020491,126.17606779074902,0.0,557.4419166021767,0.0,0.0,0.0,0.0,684.6849268854526,0.0,552.9358825073094,0.0,1114.5425966118373,137.2711684930196,0.0,311.44486922765276,0.0,0.0,188.5866554389456,341.60166685391454,0.0,0.0,0.0,1931.2410795282606,0.0,63.63898519766509,0.0,0.0,658.5127581051735,387.94892281345346,0.0,0.0,571.4891021317137,635.6839134214578,0.0,0.0,0.0,0.0,1366.0834642353673,0.0,0.0,0.0,0.0,0.0,614.7279277208825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.1426673867318,813.2365614593941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,4456.478849983236,489.39346788928026,0.0,229.87149610725697,2464.8706018890803,0.0,1021.2609505105626,1597.5507035873356,1031.2037847387446,1482.0063004115248,0.0,1440.3071687887905,0.0,0.0,1095.724190173606,2287.3189030464528,0.0,1019.8261026113654,1921.823887796927,1947.5513242196,116.07844916700168,1443.2147265739463,772.7391448921444,5381.923942500382,752.5696079357149,0.0,0.0,0.0,0.0,3749.490628533247,1901.6368036651538,0.0,1293.8227001951252,198.0111416444661,5812.139402625447,0.0,1975.4687221115664,4306.510584668047,0.0,0.0,0.0,339.49999472723414,603.8960315551889,3618.5693270384513,0.0,0.0,0.0,980.9520469434125,0.0,0.0,887.264198446752,0.0,105.96422480767,214.6186141139086,1854.2815170248327,0.0,414.251390607408,0.0,248.53327634513374,2162.075067715417,503.12408354223913,1978.7956742274869,0.0,720.1026313242895,1851.695320352819,0.0,1835.7995395171702,0.0,4117.4300926878095,8567.381321703711,0.0,294.7420164213318,9799.221356680411,3749.329398262549,1241.13416655709,0.0,0.0,550.9448709841922,833.6624600823793,118.76336548199544,185.66540620211333,0.0,0.0,636.2406030518197,6814.519005166481,0.0,3271.9929842007373,4881.502442240341,517.7004140862682,3180.2052500573623,0.0
SBS17b,0.0,4351.171308973099,0.0,11071.215654655072,386.0547695513295,1415.3089144437536,1514.5626786726752,0.0,1930.0929386320586,355.40459548630423,1607.370928098896,0.0,833.0720969863169,190.72812570039724,178.55932602386088,1914.7123133492769,165.32400280960195,0.0,0.0,250.19450544212697,6086.045482189857,2441.637069551247,0.0,0.0,1453.2937432901545,6809.440872857678,22425.54633887497,0.0,1344.8666609869233,0.0,1432.4839733638241,0.0,0.0,384.45749824584703,0.0,1761.9259450031357,1108.8797922606825,0.0,3249.7689433230707,2865.834966097359,571.0198893485003,8644.374742011616,406.1125127359791,0.0,4556.71741804304,829.1494654535128,0.0,3814.595586025721,484.0545764025197,446.1009791312791,1406.5223361052847,20243.782056254844,0.0,261.54131303862584,380.09420903954475,859.8128528920927,7643.369571141412,0.0,0.0,0.0,0.0,0.0,1414.4173793386747,0.0,5414.018834953389,9589.979322384552,0.0,3530.503935606617,2909.833305237409,637.7971312338312,0.0,957.4873455700366,1188.5325262177037,7560.674397252836,8656.682027247305,0.0,1205.2274915104597,23.266366950990463,7529.496155680236,1080.276764313009,2093.354182155229,0.0,0.0,485.151401202147,9956.313524652687,0.0,0.0,7031.464575416183,5910.890236144197,0.0,4340.694932061576
SBS18,0.0,3843.2321543675243,2765.144163654475,6957.022271665732,618.2619733245815,0.0,2710.689651463276,0.0,1981.9860352135147,0.0,3142.9904925484066,2120.828179825398,987.5329777043962,0.0,0.0,546.1745143534574,0.0,0.0,0.0,1307.532395569167,0.0,2900.3139246800474,0.0,36.39459582624386,2813.088974194808,1018.980567880938,1149.0182294358312,1518.0840325592217,0.0,0.0,1500.5265087307096,0.0,1039.6556462545846,1227.6701934914297,0.0,0.0,0.0,0.0,0.0,1491.4402024619621,775.2139057546018,1622.3724054015925,0.0,0.0,544.5145346643031,0.0,0.0,0.0,854.7101033332044,0.0,2603.6351083254626,3169.6118295748615,610.6794328380197,0.0,0.0,2741.9004742011834,2115.3063276361613,3405.455515756164,1665.253363009609,0.0,2530.7385955498066,3078.37362709618,3884.336919992665,2818.711887227773,0.0,0.0,2937.219441568324,1617.2243645069052,0.0,0.0,3862.87020711779,1755.4508996064876,4986.9484723650585,0.0,0.0,0.0,0.0,0.0,2155.8551602080124,563.8814642552483,0.0,0.0,0.0,3156.562921196526,0.0,1817.1654633536518,3714.4074451897973,8247.432882717072,363.30352509097,0.0,832.8286094561099
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,172.56533064470887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.1510663742944,0.0,181.06240877458617,0.0,0.0,788.6494830195679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.58303242554723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.6165325795773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8683542849038,0.0,0.0,0.0,0.0,302.0488284589885,0.0,584.2990729754196,0.0,0.0,520.213354487107,0.0,186.85277304830623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0349659535295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.245382886747,0.0,0.0,0.0
SBS40,0.0,0.0,4979.12170420029,0.0,6187.811738212332,2455.3545583783725,0.0,5386.489913494111,0.0,0.0,0.0,0.0,0.0,6181.553891241232,0.0,0.0,0.0,755.7013197195884,1669.5316914984687,6029.614904206794,803.968978173375,2313.3400376030754,2407.2962158175883,0.0,0.0,3496.515641742957,0.0,0.0,2316.36528802055,1265.2302605415273,325.79195118510825,0.0,0.0,9234.787832948565,0.0,5802.933250303961,11973.151817690454,0.0,0.0,0.0,8018.251909583563,0.0,0.0,0.0,0.0,7713.31681108876,6408.411327241845,0.0,0.0,2181.2274747341257,5890.997261155369,0.0,4661.275292855876,10696.996166105542,0.0,0.0,0.0,10322.346995631342,2026.6361122036915,2122.6900775802533,0.0,0.0,4180.316664922972,0.0,3349.4178039579665,0.0,6813.609154166237,0.0,0.0,1179.987844835663,0.0,6201.957169212436,8649.899150028301,0.0,4003.6421219634935,0.0,1729.0035583791457,0.0,10295.144909068014,0.0,1610.1135959642395,1757.0813955515193,0.0,0.0,0.0,0.0,0.0,2536.145884827911,0.0,0.0,0.0
