Sample,SBS1,SBS2,SBS4,SBS5,SBS12,SBS13,SBS18,SBS22a,SBS22b,SBS40a,SBS40b,SBS40c
Kidney-RCC::S.1,357.1620926087725,50.696841655373404,1296.5976650536036,1614.6241353314813,50.58813599955014,0.0,159.88173721216234,0.0,0.0,445.4592291983544,1612.9507887678103,0.0
Kidney-RCC::S.2,193.47830769105292,6.574178848972429,680.1583388724966,366.91694642198524,0.0,0.0,0.0,17.791010722088348,1229.4245187829094,332.3132282606945,1854.1893892727314,19.626106454713494
Kidney-RCC::S.3,105.95557056969211,0.0,771.8344785661361,0.0,0.0,109.61551919008485,0.0,37.1284485996673,32.71703686313516,1444.7871060511427,728.4444280941954,0.0
Kidney-RCC::S.4,351.59236253340106,47.97927405776141,0.0,0.0,338.853619521859,24.096735626808787,0.0,53.87920415909441,0.0,2588.218338627778,2189.7587972806105,0.0
Kidney-RCC::S.5,179.20821143148217,0.0,68.88038408764646,165.24136552705338,177.7104108195328,0.0,0.0,0.0,4241.832019591187,1914.4473955820786,1807.6065264904128,794.0812205740843
Kidney-RCC::S.6,176.60181868780546,46.134148993235684,14.169637864787916,76.17660289101605,0.0,0.0,2.584636787339378,15.663221061042854,0.0,1107.2982650833324,398.0290764611788,0.0
Kidney-RCC::S.7,129.0582805778723,11.219189957375988,417.1594472733078,27.079856452980017,0.0,31.137995379998742,9.452306649948387,0.0,0.0,1631.354779545216,875.327945551111,0.0
Kidney-RCC::S.8,6.0753337504940355,46.24561460520747,1174.0886603682409,0.0,700.4031590646099,9.209977325081887,74.37825735242356,0.0,14.251806710822635,981.911073855842,2585.457580320817,0.0
Kidney-RCC::S.9,172.119246107301,0.0,0.0,0.0,39.0388302420149,0.0,67.54575851125527,0.0,21.222199145650105,2311.9136709974223,1525.017752037084,46.02584492120976
Kidney-RCC::S.10,190.1706923977068,0.0,824.3871145241621,0.0,0.0,86.64898507442665,0.0,0.0,0.0,1413.7547395259528,304.9469959001841,270.0946502982384
Kidney-RCC::S.11,65.73173235004697,64.54665864107774,1134.186212734282,0.0,0.0,24.864338358021048,264.37075606996825,0.0,0.0,2190.778782454349,763.6083120288013,413.1100114377132
Kidney-RCC::S.12,269.71654489484547,0.0,483.2006731452073,0.0,579.6365008137792,20.0412510104281,138.33781872378054,42.946515336809,0.0,1462.0719820979816,758.302517922189,80.84412887751836
Kidney-RCC::S.13,0.0,0.0,0.0,0.0,26.866687291258657,28.313001042345174,0.0,29.47832280948905,0.0,2675.9590974931075,721.3348095888497,48.10978998379102
Kidney-RCC::S.14,132.9796618994029,0.0,865.1632139696843,0.0,0.0,0.0,64.05183441091343,46.15604636469722,0.0,0.0,1150.6323016807535,104.86661939205912
Kidney-RCC::S.15,341.75792059541607,0.0,395.73257353932416,159.94779763993418,0.0,0.0,11.080959607795482,54.04909869579765,6305.65589067931,1974.6446074034172,154.3460425671496,1470.0189095758851
Kidney-RCC::S.16,0.0,0.0,28.25057291117137,0.0,0.0,15.522569800247261,35.00895360632785,13.323533167864369,0.0,1550.1052213621804,857.7693548149259,139.4668803798955
Kidney-RCC::S.17,119.33434929065064,0.0,2039.0660459158148,0.0,24.991526061834435,0.0,0.0,0.0,0.0,0.0,226.9779644778185,57.88244221663909
Kidney-RCC::S.18,57.67817261215525,6.0529752532624475,599.3983767052292,0.0,0.0,7.307950383200179,10.61238948131732,0.0,0.0,0.0,567.4329835338424,0.0
Kidney-RCC::S.19,157.35694802474265,5.915654297906082,1168.1714008149029,0.0,0.0,15.79802284125017,49.94547973276555,1.935631692139668,0.0,3.087223205798233,1251.482765201344,0.0
Kidney-RCC::S.20,168.53521869292715,0.0,0.0,139.15127745417894,86.84544889069524,1.145236043600221,58.55802418755911,0.0,68.37839998835801,2372.3248454185114,669.2431398055119,33.93951465462271
Kidney-RCC::S.21,227.31092074600815,303.7644776046803,0.0,0.0,31.264767243410976,0.0,14.720758352815666,66.91931283317744,18.55575907041259,2334.113752004557,1932.145872650329,376.95493863714614
Kidney-RCC::S.22,0.0,0.0,756.1165082425009,0.0,194.7599103195377,51.47228160930412,199.620141059548,376.6646996670391,3818.557139457998,1546.793670557259,2788.011440059026,0.0
Kidney-RCC::S.23,370.7932612065729,56.33938989764695,0.0,0.0,0.0,42.99465573542485,0.0,0.0,0.0,2169.133655933965,165.9060286014653,327.1775492424662
