,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15,ColoRect-AdenoCA::MSI-H.S.16
SBS1,5002.208260620735,19987.58067938797,13510.07419815886,13114.172882631003,6630.8922219814085,18560.80599411087,26435.25392842381,3494.4200549512957,9888.857459933553,10391.936054968486,3211.811864724171,19911.224176643933,16469.296813378623,21175.02766290867,46765.873330372764,3279.209048265877
SBS5,22057.546580613714,17583.050290775594,10656.011169821095,46881.82798710429,42191.197668913504,38046.05524032507,28116.593771144417,45284.65764833902,40247.045778800486,64567.72615529977,13813.826860558756,34572.59673368573,32290.479799511668,10243.487505797191,30275.12406263611,23343.772558827866
SBS10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16675.371088980057
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11808.396498645485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32904.84100077761
SBS40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS44,39791.196840238,47502.96949498695,41980.97528387874,33682.32790509242,58722.88873314479,79609.63878564483,39941.04744916594,66290.81109603014,71802.56893575983,44994.84541419151,7571.135336192514,89578.50850784441,40254.494485841424,26105.411777234476,26509.70187482176,70645.96250633188
