,Skin-Melanoma::S.1,Skin-Melanoma::S.2,Skin-Melanoma::S.3,Skin-Melanoma::S.4,Skin-Melanoma::S.5,Skin-Melanoma::S.6,Skin-Melanoma::S.7,Skin-Melanoma::S.8,Skin-Melanoma::S.9,Skin-Melanoma::S.10,Skin-Melanoma::S.11,Skin-Melanoma::S.12,Skin-Melanoma::S.13,Skin-Melanoma::S.14,Skin-Melanoma::S.15,Skin-Melanoma::S.16,Skin-Melanoma::S.17,Skin-Melanoma::S.18,Skin-Melanoma::S.19,Skin-Melanoma::S.20,Skin-Melanoma::S.21,Skin-Melanoma::S.22,Skin-Melanoma::S.23,Skin-Melanoma::S.24,Skin-Melanoma::S.25,Skin-Melanoma::S.26,Skin-Melanoma::S.27,Skin-Melanoma::S.28,Skin-Melanoma::S.29,Skin-Melanoma::S.30,Skin-Melanoma::S.31,Skin-Melanoma::S.32,Skin-Melanoma::S.33,Skin-Melanoma::S.34,Skin-Melanoma::S.35,Skin-Melanoma::S.36,Skin-Melanoma::S.37,Skin-Melanoma::S.38,Skin-Melanoma::S.39,Skin-Melanoma::S.40,Skin-Melanoma::S.41,Skin-Melanoma::S.42,Skin-Melanoma::S.43,Skin-Melanoma::S.44,Skin-Melanoma::S.45,Skin-Melanoma::S.46,Skin-Melanoma::S.47,Skin-Melanoma::S.48,Skin-Melanoma::S.49,Skin-Melanoma::S.50,Skin-Melanoma::S.51,Skin-Melanoma::S.52,Skin-Melanoma::S.53,Skin-Melanoma::S.54,Skin-Melanoma::S.55,Skin-Melanoma::S.56,Skin-Melanoma::S.57,Skin-Melanoma::S.58,Skin-Melanoma::S.59,Skin-Melanoma::S.60,Skin-Melanoma::S.61,Skin-Melanoma::S.62,Skin-Melanoma::S.63,Skin-Melanoma::S.64,Skin-Melanoma::S.65,Skin-Melanoma::S.66,Skin-Melanoma::S.67,Skin-Melanoma::S.68,Skin-Melanoma::S.69,Skin-Melanoma::S.70,Skin-Melanoma::S.71,Skin-Melanoma::S.72,Skin-Melanoma::S.73,Skin-Melanoma::S.74,Skin-Melanoma::S.75,Skin-Melanoma::S.76,Skin-Melanoma::S.77,Skin-Melanoma::S.78,Skin-Melanoma::S.79,Skin-Melanoma::S.80,Skin-Melanoma::S.81,Skin-Melanoma::S.82,Skin-Melanoma::S.83,Skin-Melanoma::S.84,Skin-Melanoma::S.85,Skin-Melanoma::S.86,Skin-Melanoma::S.87,Skin-Melanoma::S.88,Skin-Melanoma::S.89,Skin-Melanoma::S.90,Skin-Melanoma::S.91,Skin-Melanoma::S.92,Skin-Melanoma::S.93,Skin-Melanoma::S.94,Skin-Melanoma::S.95,Skin-Melanoma::S.96,Skin-Melanoma::S.97,Skin-Melanoma::S.98,Skin-Melanoma::S.99
SBS1,0.0,473.8145654375445,0.0,0.0,408.92710386118137,0.0,0.0,0.0,0.0,0.0,258.68161602297573,0.0,0.0,0.0,0.0,0.0,250.6395068412542,0.0,0.0,39.587133770809736,0.0,0.0,0.0,447.21019485250116,0.0,0.0,246.37900576449235,0.0,0.0,0.0,602.254308253357,0.0,0.0,0.0,342.94876590232394,0.0,0.0,780.5470186361746,0.0,0.0,0.0,0.0,125.38216392240277,0.0,593.4260429716068,0.0,0.0,0.0,442.1276789254762,0.0,0.0,743.3053556036156,0.0,262.7077278206325,0.0,0.0,754.8111980284864,554.2642655175815,0.0,0.0,0.0,130.6058864384515,0.0,0.0,628.8012895387099,0.0,880.3381196283414,322.23490041449503,0.0,0.0,0.0,0.0,70.81711116844083,0.0,0.0,935.2240704431761,0.0,1198.7203089529387,0.0,0.0,1331.8374852231311,0.0,0.0,0.0,0.0,0.0,0.0,170.46576230747738,0.0,0.0,735.6525978965573,133.23495202482286,0.0,0.0,0.0,0.0,927.688164981387,527.8591371148513,0.0
SBS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39946.4719779325,0.0,0.0,0.0,2296.2677340431073,0.0,4550.689268560877,0.0,2168.1279668409015,0.0,0.0,0.0,0.0,2276.3779269501333,0.0,0.0,0.0,0.0,0.0,0.0,1200.5601836044664,0.0,3443.264876650411,0.0,0.0,0.0,0.0,0.0,9390.7784295805,0.0,0.0,0.0,0.0,5398.669332936629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.1666883863122,0.0,0.0,0.0,22811.702497318845,0.0,0.0,0.0,0.0,0.0,51935.37035951824,0.0,0.0,3452.3555684787843,0.0,0.0,5636.920397944012,8411.671639372598,139.73610060260938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17590.363303821017,0.0,0.0,0.0,0.0,0.0,8989.588016268615,7301.275133965166,0.0,25026.05643216299,18725.186619758704,4309.506453924922,0.0,0.0,8554.565615754329,3048.715058498171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,386.3942784757904,3877.755596259591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11619.991486888925,14816.218104811944,0.0,13984.207709642349,5684.125586718521,4131.002727595352,0.0,6310.849352935595,3173.3507796634804,0.0,4374.917770928032,0.0,0.0,0.0,0.0,9892.123372603817,1348.2657609751939,6918.045706897567,1726.1673400222712,13564.994550928655,0.0,10622.37056046736,0.0,1102.847140717768,14041.368161568658,0.0,2440.7909519133696,2321.4907737582253,0.0,0.0,0.0,9660.292573322884,2341.9516579265987,4544.770280231422,0.0,3394.2538661064987,0.0,6400.32269161166,0.0,0.0,0.0,3811.026136516336,0.0,2456.2620225921924,0.0,0.0,0.0,0.0,17467.495625967887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.854582650145,6855.574109610051,0.0,1516.387752981177,0.0,0.0,249.47688025418637,0.0,0.0,8379.011806603728,0.0,4354.487435179989,5249.289690150333,0.0,8338.85940721844,7015.2061558722635,0.0,5995.786238094367,0.0,0.0,5930.7650298319695,1158.8446017680194,13073.360752396487,0.0,0.0,3139.4167334726767,16932.782257358194,0.0,4424.6180510570075,0.0,3617.3582482003194,199.71344982700504,2360.2102170812336
SBS7a,0.0,10282.846890923352,52510.42094837866,197556.91361903097,50894.574161082055,168289.5558849018,137012.02558606328,178707.54741799497,0.0,79575.88163565456,14895.313593229297,0.0,32260.198514467873,108951.10060893524,59624.4530823506,9670.290964266655,21852.18772670606,38997.056476502454,1680.3259020237194,0.0,34302.968433664224,164952.69934246183,0.0,5949.984252291974,0.0,22503.02879868144,16349.860456209946,0.0,50172.225179561356,0.0,0.0,1412.6246234358314,112303.99325010122,3161.481714226519,54823.5211650119,34154.602685317936,0.0,38612.55398544988,89335.07473013746,12518.235086163208,95273.71240170435,31092.079243223587,0.0,111761.04578082972,218171.5591085766,8210.48589490805,90082.77568021235,29652.980573765693,25891.72414290467,9966.414809520837,111179.32668620563,38874.01557912186,46936.24503373644,0.0,277790.4027732582,53429.19468546175,43442.48238171773,180531.55460405184,232347.30097527552,70557.82894888814,76758.5150040162,60967.31234509691,70959.76372384536,80798.4110739247,41550.59964299035,67158.65195257566,0.0,0.0,63965.2428893062,12915.886667407756,9598.132177998854,17937.824369253023,5899.7976868427995,38403.4995905802,0.0,47575.82260060514,98390.67857238874,62883.09675734486,0.0,146310.4803569919,27166.89840919412,187773.37705144242,78284.99168014136,23693.980906605557,107016.22222091226,36707.83901057314,78577.25300255098,0.0,50865.82890421323,31889.8839925571,31269.817136232836,0.0,31270.29650041595,146988.62394972635,27658.34331231817,133458.85249647291,33779.27279585573,0.0,0.0
SBS7b,7615.0625534881165,3650.0386487649266,0.0,16181.254168175685,19061.364109216396,54536.587912466406,0.0,64292.28162973054,17445.97151680638,23515.628256005424,0.0,51728.56429155764,11559.872950350753,0.0,15494.77392579092,4250.013055213489,1439.0071397872016,0.0,0.0,15694.040061123742,23044.09365650911,0.0,19518.503868550844,12499.214860868451,30309.18073310726,50428.49572440457,2005.7234826476015,29700.027407474423,0.0,160327.47549936178,0.0,0.0,14349.439383395176,25915.176632550712,2309.762041088361,7665.353028052767,3006.9199218393665,14352.071219644306,0.0,54647.35748326656,0.0,49659.97024309893,429.5749962636043,16135.820607450369,67647.6776151908,53946.15340728631,36934.71066673925,14745.210443346921,2249.668330428136,4880.721550061195,103925.26389497305,82264.95132156595,79614.64063725916,39808.176390631714,20397.896644355525,2505.140169076032,16801.817421107546,22750.986102694093,0.0,16118.464256192092,49128.85660105833,0.0,0.0,50205.4919853475,10200.425022313968,21982.75204284888,0.0,13545.350473402117,0.0,4951.380706300564,3348.1997107429524,35652.211094410995,0.0,15819.464575785962,20553.62679207002,29916.578264081938,21689.32865859373,33117.159610016824,782.0462631450439,40661.3238019885,19498.0257378916,7614.899093792337,8427.929724407833,34223.3025474878,22254.397335710106,7477.072601948894,31747.625294371042,35693.06779728967,0.0,59925.01456878768,35276.35928125995,0.0,12507.063379860629,0.0,0.0,30694.062749239136,7336.256862519789,3381.0606525643025,0.0
SBS7c,812.0063212530029,7026.273466684679,876.214305378855,0.0,0.0,0.0,0.0,13575.080669432831,8390.28879151199,0.0,0.0,3862.3391490259964,2267.803749291117,3615.099464917992,0.0,924.2175258267328,0.0,0.0,8480.710118026895,4877.034115190664,6785.7882107915175,2733.5856947710345,588.9581303908167,0.0,2911.7191028300304,1039.9301790800687,8502.006001383756,10754.634844884029,16461.78555731755,2255.03278109239,0.0,1880.61173992131,1439.8420425929544,670.5312431736352,0.0,10538.363785952015,1002.1296401561638,17625.762356582287,17062.826074597353,0.0,1540.9488079588837,2298.9765125244335,7487.416417938728,0.0,0.0,0.0,15179.783257166426,7480.616179641127,0.0,6693.258954306646,0.0,0.0,3208.395369716942,0.0,1322.0050747551693,1527.1919761543388,0.0,6001.521901287801,0.0,1875.4790260368213,0.0,12043.565099974745,10133.406819775566,18500.25223351472,4621.345797392371,10070.37038883653,0.0,780.0954996918094,2659.6292238116503,0.0,1845.5608339651608,3195.7504897460003,2496.3579585766447,1137.434670187958,0.0,7762.606585793732,628.3847274769505,5031.625796277924,2002.9990677297978,24342.32718003849,0.0,25162.228147537622,5067.395832996964,5921.160306606572,1833.498391669922,2107.900494350069,0.0,7793.2475897661225,6737.761660363616,6947.96426237536,0.0,6438.203830748877,13307.194648307674,4439.279767112555,21673.44412714331,0.0,0.0,0.0,21521.463250933073
SBS7d,0.0,0.0,211.03458172186936,0.0,1070.4931595989715,3408.6312370990827,0.0,2691.8518893804176,6167.322062582365,5663.261924933997,0.0,0.0,5096.705424421707,16869.131316795814,6333.564973383327,2322.23845782685,0.0,692.4646303424415,0.0,3544.994784583351,2264.9586376547722,2111.492547143682,3890.4841287138097,2918.340880426642,2058.28774914491,986.281019252734,0.0,3444.5449160120597,413.49723583934747,4114.029755748779,2459.8591522207635,19372.828684453158,0.0,281.355153638679,2140.0049025588705,0.0,3303.821109081344,2973.2332482146444,6713.431155242064,2491.480637597101,2708.972582747592,3528.8049755453667,0.0,4075.0570954509326,0.0,0.0,2794.95709099279,1120.2482216125488,1645.2338099407602,3330.9804341498975,8182.126025635986,8015.070167860054,0.0,2705.741251628927,2299.023486026275,2464.8405175816038,4883.5354252362395,2723.370664434631,0.0,0.0,2443.7141440380183,5325.435227513556,725.6432338666636,0.0,1944.4447069987614,0.0,1853.0253801990714,0.0,3572.6856941749675,4527.119796328414,8421.31094010734,8997.087312063453,0.0,4743.772615572078,2022.5655725321749,2290.4058942723022,0.0,5187.912396834954,1388.7772051121,0.0,4847.424210897386,0.0,0.0,0.0,7540.880793633289,0.0,4749.809146087895,0.0,0.0,0.0,0.0,2505.050662931785,0.0,0.0,0.0,8604.940183134206,0.0,1239.3119862450503,0.0
SBS13,0.0,0.0,0.0,426.091315338997,0.0,738.3442223907651,233.58944432474073,0.0,0.0,0.0,0.0,0.0,172.75810011439535,0.0,0.0,0.0,29.922129879533763,0.0,189.07380714867068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.7370665451106,265.3028649707678,331.7621501866963,0.0,394.99988254039783,232.62119550937177,0.0,0.0,0.0,360.0084111441458,0.0,0.0,0.0,0.0,244.14029613844968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.36718134269177,0.0,0.0,0.0,0.0,265.9939730050377,0.0,0.0,0.0,0.0,0.0,0.0,534.8745656566077,235.8955797040723,0.0,0.0,514.2550002567206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0365204599728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,0.0,655.2555590114634,408.72789837283096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.29953029091473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.980133485018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.62478234931154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,9564.693600348024,0.0,126.96868705513697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.83029326922772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.368402923023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.8487429921033,0.0,0.0,0.0,0.0,190.68885607938998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14138.800101351088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
