,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.1,1539.0,0.0,0.0,0.0,0.0,0.0,5786.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.2,1565.0,1791.0,337.0,0.0,0.0,0.0,4790.0,0.0,0.0,5804.0
ColoRect-AdenoCA::S.3,2143.0,1360.0,461.0,0.0,0.0,0.0,5429.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.4,2351.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.5,3449.0,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,0.0,20082.0
ColoRect-AdenoCA::S.6,2684.0,5567.0,239.0,0.0,0.0,0.0,1230.0,0.0,0.0,9511.0
ColoRect-AdenoCA::S.7,2347.0,2068.0,0.0,0.0,0.0,0.0,3501.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.8,2606.0,3577.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,0.0
ColoRect-AdenoCA::S.9,3470.0,3288.0,0.0,0.0,0.0,0.0,3625.0,0.0,0.0,6914.0
ColoRect-AdenoCA::S.10,1312.0,1685.0,240.0,0.0,0.0,0.0,4837.0,0.0,2626.0,0.0
ColoRect-AdenoCA::S.11,3057.0,1305.0,299.0,0.0,0.0,0.0,3708.0,221.0,0.0,10832.0
ColoRect-AdenoCA::S.12,1965.0,1064.0,167.0,0.0,0.0,3973.0,2488.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.13,3673.0,0.0,707.0,0.0,0.0,0.0,3682.0,800.0,0.0,9801.0
ColoRect-AdenoCA::S.14,2183.0,0.0,0.0,0.0,0.0,0.0,2962.0,424.0,0.0,17508.0
ColoRect-AdenoCA::S.15,1651.0,735.0,0.0,0.0,0.0,0.0,3150.0,0.0,0.0,4371.0
ColoRect-AdenoCA::S.16,2818.0,3492.0,126.0,0.0,0.0,0.0,1815.0,0.0,0.0,1136.0
ColoRect-AdenoCA::S.17,2019.0,3483.0,0.0,0.0,0.0,0.0,4895.0,0.0,0.0,4339.0
ColoRect-AdenoCA::S.18,2477.0,4306.0,198.0,0.0,101.0,0.0,2598.0,0.0,0.0,6880.0
ColoRect-AdenoCA::S.19,2488.0,1861.0,167.0,0.0,0.0,0.0,6859.0,0.0,0.0,3667.0
