Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40	SBS41
Stomach-AdenoCA::S.1	1360	1620	12944	3969	0	4468	0	0	0	0	0
Stomach-AdenoCA::S.2	1432	0	0	4883	0	486	4324	3819	0	0	0
Stomach-AdenoCA::S.3	676	506	0	0	0	0	0	2640	0	6085	0
Stomach-AdenoCA::S.4	968	0	0	3358	0	0	10966	6863	0	0	0
Stomach-AdenoCA::S.5	1590	0	0	569	0	2398	353	0	0	7214	0
Stomach-AdenoCA::S.6	891	0	0	14385	917	0	1491	0	0	0	3188
Stomach-AdenoCA::S.7	714	0	0	162	0	1024	1594	2723	0	0	0
Stomach-AdenoCA::S.8	316	0	0	20681	0	1666	0	0	0	0	0
Stomach-AdenoCA::S.9	1094	0	0	17845	0	1025	2083	0	0	0	0
Stomach-AdenoCA::S.10	961	0	0	1862	0	1485	355	0	0	0	0
Stomach-AdenoCA::S.11	237	0	0	7924	0	0	1627	3182	0	0	0
Stomach-AdenoCA::S.12	4245	1059	0	4034	0	1428	0	2103	0	0	0
Stomach-AdenoCA::S.13	702	0	0	16613	0	0	838	0	0	0	0
Stomach-AdenoCA::S.14	935	0	0	8615	0	0	0	0	0	6496	0
Stomach-AdenoCA::S.15	890	0	0	99	0	1104	180	0	0	0	0
Stomach-AdenoCA::S.16	1387	0	0	4415	0	2373	2232	0	0	0	0
Stomach-AdenoCA::S.17	371	634	0	53	0	0	161	0	0	0	0
Stomach-AdenoCA::S.18	1339	0	0	9843	0	1039	0	0	0	0	0
Stomach-AdenoCA::S.19	913	0	0	3996	0	2080	0	0	0	0	0
Stomach-AdenoCA::S.20	1283	0	0	0	0	1918	0	0	0	10727	0
Stomach-AdenoCA::S.21	1736	0	0	0	0	0	7865	0	0	0	0
Stomach-AdenoCA::S.22	1194	0	0	1351	0	1369	2337	2580	0	3401	0
Stomach-AdenoCA::S.23	589	309	0	3922	190	779	0	0	0	2428	0
Stomach-AdenoCA::S.24	1209	944	0	0	0	5843	0	0	0	0	0
Stomach-AdenoCA::S.25	2052	0	5903	2755	0	753	1454	2814	0	0	0
Stomach-AdenoCA::S.26	1145	0	0	0	0	0	6788	0	0	4611	0
Stomach-AdenoCA::S.27	1007	0	0	6977	0	0	21783	0	0	0	0
Stomach-AdenoCA::S.28	1156	0	0	4956	0	0	0	1567	0	0	0
Stomach-AdenoCA::S.29	870	0	0	10538	0	0	1458	0	0	0	0
Stomach-AdenoCA::S.30	131	0	0	3690	983	3967	0	0	0	0	0
Stomach-AdenoCA::S.31	53	0	0	1225	0	1934	1466	1608	0	0	0
Stomach-AdenoCA::S.32	687	0	0	5374	0	0	0	0	0	0	3157
Stomach-AdenoCA::S.33	846	0	0	15858	0	1291	0	0	0	0	0
Stomach-AdenoCA::S.34	1919	0	0	3625	0	0	0	0	0	12167	0
Stomach-AdenoCA::S.35	1427	1097	0	2632	0	5848	0	0	0	0	0
Stomach-AdenoCA::S.36	5018	0	0	1120	0	0	1682	0	0	6714	0
Stomach-AdenoCA::S.37	1025	0	43169	6448	0	0	0	0	0	0	0
Stomach-AdenoCA::S.38	1378	583	0	6574	676	4250	0	0	0	0	0
Stomach-AdenoCA::S.39	2448	0	0	6588	0	0	3267	0	0	0	0
Stomach-AdenoCA::S.40	2721	0	0	9153	0	0	3028	0	0	0	0
Stomach-AdenoCA::S.41	611	0	0	10855	0	0	0	0	0	10480	0
Stomach-AdenoCA::S.42	426	0	8699	0	0	0	9361	0	0	0	0
Stomach-AdenoCA::S.43	3405	0	0	591	0	601	405	0	0	0	0
Stomach-AdenoCA::S.44	952	1160	15692	5552	0	3660	0	0	0	0	0
Stomach-AdenoCA::S.45	55	0	0	5394	0	0	4863	0	0	0	0
Stomach-AdenoCA::S.46	493	0	0	4055	0	0	835	0	0	7767	0
Stomach-AdenoCA::S.47	1334	629	0	5992	0	0	0	0	0	6423	0
Stomach-AdenoCA::S.48	3096	0	0	3021	0	1014	3963	0	0	0	0
Stomach-AdenoCA::S.49	842	0	4899	0	348	0	493	870	0	0	0
Stomach-AdenoCA::S.50	772	0	0	0	0	0	462	0	0	2204	0
Stomach-AdenoCA::S.51	771	0	0	3926	0	888	1407	2605	0	5893	0
Stomach-AdenoCA::S.52	599	0	0	2901	0	0	21279	0	0	0	0
Stomach-AdenoCA::S.53	1126	0	0	0	1847	0	0	0	0	6638	0
Stomach-AdenoCA::S.54	680	0	0	970	0	0	0	0	0	11216	0
Stomach-AdenoCA::S.55	245	1612	0	3200	0	1909	506	0	0	0	0
Stomach-AdenoCA::S.56	2253	947	0	11641	0	0	864	2754	0	0	0
Stomach-AdenoCA::S.57	2711	0	0	0	0	0	7931	0	0	7112	0
Stomach-AdenoCA::S.58	1658	0	0	6662	0	0	0	3161	0	12139	0
Stomach-AdenoCA::S.59	951	0	3751	1138	410	0	0	1873	0	0	0
Stomach-AdenoCA::S.60	1136	1503	5594	3603	0	2151	0	0	0	0	4529
Stomach-AdenoCA::S.61	1199	590	0	8820	0	0	0	2447	0	0	0
Stomach-AdenoCA::S.62	1643	0	0	5427	581	2024	0	3149	0	0	0
Stomach-AdenoCA::S.63	3558	0	0	0	0	0	1287	3374	0	5967	0
Stomach-AdenoCA::S.64	989	826	0	1386	0	749	0	2934	0	0	0
Stomach-AdenoCA::S.65	1238	0	0	0	0	1807	5285	0	0	3269	0
Stomach-AdenoCA::S.66	2084	0	28741	1762	0	0	9585	0	0	0	0
Stomach-AdenoCA::S.67	507	1380	0	4623	0	1991	0	4338	0	0	10593
Stomach-AdenoCA::S.68	767	0	0	7980	1374	0	3550	1626	0	0	2147
Stomach-AdenoCA::S.69	735	1143	7100	1887	0	4076	2881	0	0	0	0
Stomach-AdenoCA::S.70	1219	0	0	9763	0	8629	668	0	0	0	0
Stomach-AdenoCA::S.71	308	0	0	687	0	0	0	3836	0	0	4097
Stomach-AdenoCA::S.72	390	0	0	2283	0	301	977	1791	0	6329	0
Stomach-AdenoCA::S.73	637	0	0	20133	0	10019	1401	6656	0	0	0
Stomach-AdenoCA::S.74	872	0	0	20466	0	4118	8091	0	1936	0	0
Stomach-AdenoCA::S.75	784	0	0	11287	0	1291	9138	0	0	0	0
Stomach-AdenoCA::S.76	1973	0	0	14365	0	0	0	0	0	0	7221
Stomach-AdenoCA::S.77	628	0	0	7138	0	0	1296	0	0	0	0
Stomach-AdenoCA::S.78	1346	0	0	0	0	549	0	0	0	0	0
Stomach-AdenoCA::S.79	1250	0	0	14500	0	759	7332	0	0	14177	0
Stomach-AdenoCA::S.80	462	361	0	1111	0	119	1086	567	0	0	0
Stomach-AdenoCA::S.81	619	2924	0	8219	0	0	2228	0	0	0	0
Stomach-AdenoCA::S.82	1653	0	0	6928	920	0	0	0	0	0	0
Stomach-AdenoCA::S.83	1185	0	0	10785	916	0	0	0	0	0	0
Stomach-AdenoCA::S.84	225	0	0	243	0	624	476	3094	0	0	0
Stomach-AdenoCA::S.85	779	0	14650	6059	0	6803	9939	0	0	0	0
Stomach-AdenoCA::S.86	988	0	0	490	0	0	0	1835	0	0	0
Stomach-AdenoCA::S.87	3001	0	0	2161	0	3269	0	3710	0	0	0
Stomach-AdenoCA::S.88	885	0	0	1745	0	5034	7240	8937	2035	0	0
Stomach-AdenoCA::S.89	98	0	0	3938	0	533	6299	0	0	0	0
Stomach-AdenoCA::S.90	566	0	0	0	0	3055	0	0	0	0	0
Stomach-AdenoCA::S.91	2232	0	0	8689	0	0	4539	0	0	0	0
