Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Lung-AdenoCA::S.1	203074	0.97	42374.213	20.866%	8983.405	24.688%	0.04087	0.955
Lung-AdenoCA::S.2	16582	0.965	3684.165	22.218%	898.338	26.166%	0.03331	0.954
Lung-AdenoCA::S.3	30373	0.989	3661.541	12.055%	617.211	14.511%	0.01294	0.977
Lung-AdenoCA::S.4	7868	0.988	1293.336	16.438%	183.312	15.733%	0.02332	0.977
Lung-AdenoCA::S.5	14862	0.993	2248.004	15.126%	464.794	12.078%	0.01879	0.992
Lung-AdenoCA::S.6	44865	0.982	7539.978	16.806%	1423.748	18.807%	0.02074	0.972
Lung-AdenoCA::S.7	68648	0.973	14127.221	20.579%	2784.017	23.287%	0.03206	0.958
Lung-AdenoCA::S.8	91086	0.978	18043.835	19.81%	3671.862	20.78%	0.02785	0.97
Lung-AdenoCA::S.9	20365	0.992	2912.832	14.303%	456.751	12.313%	0.01737	0.989
Lung-AdenoCA::S.10	49390	0.99	6789.319	13.746%	1257.804	14.167%	0.01438	0.986
Lung-AdenoCA::S.11	14453	0.99	2440.298	16.884%	416.701	14.446%	0.02166	0.986
Lung-AdenoCA::S.12	8380	0.977	1623.303	19.371%	225.505	21.45%	0.02914	0.931
Lung-AdenoCA::S.13	62798	0.992	8053.712	12.825%	1137.285	13.252%	0.01458	0.982
Lung-AdenoCA::S.14	41853	0.989	6522.801	15.585%	1024.373	15.281%	0.02002	0.981
Lung-AdenoCA::S.15	28453	0.988	4097.802	14.402%	676.71	15.3%	0.01619	0.979
Lung-AdenoCA::S.16	8663	0.964	2042.808	23.581%	485.287	26.641%	0.0409	0.953
Lung-AdenoCA::S.17	57009	0.985	9003.72	15.794%	1409.519	17.806%	0.02139	0.969
Lung-AdenoCA::S.18	31660	0.954	6040.948	19.081%	1578.488	29.986%	0.03307	0.925
Lung-AdenoCA::S.19	18435	0.99	2687.055	14.576%	464.481	13.774%	0.01766	0.986
Lung-AdenoCA::S.20	32095	0.984	5168.645	16.104%	769.56	18.132%	0.01878	0.959
Lung-AdenoCA::S.21	7463	0.972	1572.08	21.065%	249.973	23.737%	0.0378	0.941
Lung-AdenoCA::S.22	87977	0.968	19968.235	22.697%	3720.058	25.245%	0.03586	0.948
Lung-AdenoCA::S.23	14252	0.965	2900.323	20.35%	498.835	26.107%	0.03747	0.916
Lung-AdenoCA::S.24	113248	0.981	20064.137	17.717%	3820.262	19.533%	0.05513	0.97
Lung-AdenoCA::S.25	50080	0.989	6639.797	13.258%	1143.135	14.758%	0.01434	0.981
Lung-AdenoCA::S.26	32983	0.987	4571.243	13.859%	715.037	16.185%	0.01565	0.97
Lung-AdenoCA::S.27	70420	0.982	11970.869	16.999%	2106.275	19.235%	0.02354	0.969
Lung-AdenoCA::S.28	56121	0.983	9073.272	16.167%	1634.354	18.629%	0.02904	0.971
Lung-AdenoCA::S.29	8701	0.987	1175.217	13.507%	182.332	16.108%	0.0152	0.966
Lung-AdenoCA::S.30	36352	0.978	5922.559	16.292%	1095.076	20.935%	0.02115	0.955
Lung-AdenoCA::S.31	30451	0.964	6266.486	20.579%	1707.383	27.478%	0.03365	0.952
Lung-AdenoCA::S.32	26427	0.992	3819.805	14.454%	569.952	13.125%	0.01796	0.986
Lung-AdenoCA::S.33	16049	0.992	2439.967	15.203%	470.642	12.738%	0.01968	0.99
Lung-AdenoCA::S.34	29651	0.982	4362.257	14.712%	678.69	18.663%	0.01849	0.942
Lung-AdenoCA::S.35	6105	0.975	1341.416	21.972%	253.305	22.283%	0.03481	0.964
Lung-AdenoCA::S.36	14008	0.99	2122.011	15.149%	426.876	14.41%	0.01963	0.987
Lung-AdenoCA::S.37	48166	0.983	7083.673	14.707%	1104.286	18.524%	0.01942	0.945
Lung-AdenoCA::S.38	43813	0.979	7515.559	17.154%	1592.475	20.979%	0.02413	0.968
Lung-AdenoCA::S.39	13657	0.979	2378.235	17.414%	349.893	20.485%	0.02383	0.937
Lung-AdenoCA::S.40	41561	0.97	8158.956	19.631%	1311.458	24.64%	0.03064	0.922
Lung-AdenoCA::S.41	40607	0.978	7112.951	17.517%	1036.076	20.869%	0.02197	0.93
Lung-AdenoCA::S.42	10825	0.993	1781.864	16.461%	338.776	11.516%	0.02676	0.992
Lung-AdenoCA::S.43	17865	0.982	3035.923	16.994%	421.266	18.897%	0.0236	0.945
Lung-AdenoCA::S.44	68178	0.989	9372.165	13.747%	1510.146	15.024%	0.01564	0.978
Lung-AdenoCA::S.45	21586	0.982	3779.4	17.509%	678.027	18.937%	0.03035	0.971
Lung-AdenoCA::S.46	20387	0.993	2920.405	14.325%	926.378	11.988%	0.01575	0.993
Lung-AdenoCA::S.47	36926	0.99	5028.34	13.617%	899.786	14.298%	0.01696	0.984
Lung-AdenoCA::S.48	43795	0.995	5469.115	12.488%	882.012	10.237%	0.01488	0.993
Lung-AdenoCA::S.49	28198	0.986	4340.591	15.393%	826.114	16.704%	0.02024	0.979
Lung-AdenoCA::S.50	6443	0.989	1164.779	18.078%	469.833	15.042%	0.06524	0.989
Lung-AdenoCA::S.51	9601	0.985	1638.635	17.067%	249.699	17.303%	0.0252	0.972
Lung-AdenoCA::S.52	17752	0.991	2780.215	15.661%	487.91	14.154%	0.02028	0.987
Lung-AdenoCA::S.53	26562	0.984	4774.198	17.974%	850.715	18.087%	0.02507	0.976
Lung-AdenoCA::S.54	26689	0.969	5485.078	20.552%	1060.649	24.659%	0.04814	0.949
Lung-AdenoCA::S.55	53449	0.941	14038.31	26.265%	3567.724	33.85%	0.06149	0.919
Lung-AdenoCA::S.56	140525	0.987	21588.531	15.363%	4039.03	16.023%	0.01895	0.981
Lung-AdenoCA::S.57	31136	0.981	5237.803	16.822%	806.383	19.264%	0.02213	0.956
Lung-AdenoCA::S.58	10310	0.979	1745.783	16.933%	264.854	20.198%	0.02365	0.941
Lung-AdenoCA::S.59	8279	0.999	1219.334	14.728%	274.891	6.388%	0.06007	0.999
Lung-AdenoCA::S.60	122026	0.979	22605.718	18.525%	5051.564	20.995%	0.02711	0.971
Lung-AdenoCA::S.61	36618	0.974	6522.209	17.811%	1040.678	22.512%	0.02637	0.925
Lung-AdenoCA::S.62	28443	0.981	4673.047	16.43%	873.032	19.569%	0.0231	0.967
Lung-AdenoCA::S.63	24376	0.97	4252.407	17.445%	774.83	24.365%	0.03415	0.92
Lung-AdenoCA::S.64	61726	0.98	10169.737	16.476%	1759.574	19.921%	0.02723	0.959
Lung-AdenoCA::S.65	21256	0.994	2808.937	13.215%	444.972	10.749%	0.014	0.992
Lung-AdenoCA::S.66	25875	0.989	3424.356	13.234%	580.707	15.061%	0.01396	0.979
Lung-AdenoCA::S.67	22008	0.989	3595.862	16.339%	786.607	14.742%	0.02114	0.987
Lung-AdenoCA::S.68	104103	0.97	22034.481	21.166%	4284.974	24.176%	0.05501	0.954
Lung-AdenoCA::S.69	36239	0.987	5641.697	15.568%	1118.341	16.281%	0.02173	0.981
Lung-AdenoCA::S.70	12866	0.976	2665.631	20.718%	510.432	21.629%	0.05021	0.966
Lung-AdenoCA::S.71	23021	0.987	3474.887	15.094%	533.377	16.479%	0.0181	0.972
Lung-AdenoCA::S.72	6295	0.971	1264.453	20.087%	355.246	23.968%	0.03008	0.964
Lung-AdenoCA::S.73	31925	0.959	7113.584	22.282%	1722.373	28.458%	0.04215	0.941
Lung-AdenoCA::S.74	51058	0.964	10333.082	20.238%	2461.736	26.7%	0.04993	0.946
Lung-AdenoCA::S.75	70746	0.989	9690.946	13.698%	1304.666	15.112%	0.0164	0.964
Lung-AdenoCA::S.76	1337	0.98	308.833	23.099%	44.503	19.84%	0.05296	0.968
Lung-AdenoCA::S.77	64960	0.989	8403.097	12.936%	1512.38	14.926%	0.01314	0.98
Lung-AdenoCA::S.78	11058	0.985	1643.18	14.86%	231.227	17.087%	0.01664	0.951
Lung-AdenoCA::S.79	8083	0.977	1479.476	18.304%	243.261	21.335%	0.02954	0.951
Lung-AdenoCA::S.80	2603	0.975	514.672	19.772%	85.073	22.879%	0.03253	0.954
Lung-AdenoCA::S.81	40680	0.978	6920.323	17.012%	1335.601	20.999%	0.02152	0.961
Lung-AdenoCA::S.82	29750	0.987	4113.823	13.828%	688.454	16.069%	0.01631	0.974
Lung-AdenoCA::S.83	16541	0.998	1736.526	10.498%	269.272	6.241%	0.01147	0.998
Lung-AdenoCA::S.84	62432	0.968	12535.285	20.078%	2534.188	25.208%	0.03094	0.945
Lung-AdenoCA::S.85	21102	0.987	3006.345	14.247%	490.843	16.021%	0.01651	0.975
Lung-AdenoCA::S.86	19113	0.989	2675.273	13.997%	492.272	15.173%	0.01809	0.982
Lung-AdenoCA::S.87	8816	0.995	1195.133	13.556%	228.068	9.503%	0.01631	0.995
Lung-AdenoCA::S.88	20328	0.986	2739.581	13.477%	492.565	16.825%	0.01513	0.971
Lung-AdenoCA::S.89	40499	0.972	8094.784	19.988%	1469.312	23.507%	0.03903	0.95
Lung-AdenoCA::S.90	8444	0.983	1519.754	17.998%	213.438	18.399%	0.02369	0.961
Lung-AdenoCA::S.91	4522	0.983	843.006	18.642%	129.028	18.638%	0.02936	0.969
Lung-AdenoCA::S.92	51538	0.986	8573.776	16.636%	1404.18	16.583%	0.02451	0.978
Lung-AdenoCA::S.93	54672	0.971	10706.562	19.583%	2176.139	23.846%	0.02797	0.954
Lung-AdenoCA::S.94	15050	0.984	2524.206	16.772%	392.384	17.935%	0.0216	0.968
Lung-AdenoCA::S.95	20948	0.987	3153.112	15.052%	536.716	16.039%	0.01775	0.978
Lung-AdenoCA::S.96	55233	0.989	7560.339	13.688%	1472.415	14.954%	0.01499	0.983
Lung-AdenoCA::S.97	31773	0.963	7841.641	24.68%	1451.51	26.932%	0.05225	0.941
Lung-AdenoCA::S.98	6696	0.967	1546.001	23.088%	243.411	25.804%	0.04372	0.93
Lung-AdenoCA::S.99	28756	0.977	5787.84	20.127%	1126.099	21.635%	0.0333	0.966
Lung-AdenoCA::S.100	30777	0.989	4734.041	15.382%	715.66	14.967%	0.02251	0.982
