,Eso-AdenoCA::S.1,Eso-AdenoCA::S.2,Eso-AdenoCA::S.3,Eso-AdenoCA::S.4,Eso-AdenoCA::S.5,Eso-AdenoCA::S.6,Eso-AdenoCA::S.7,Eso-AdenoCA::S.8,Eso-AdenoCA::S.9,Eso-AdenoCA::S.10,Eso-AdenoCA::S.11,Eso-AdenoCA::S.12,Eso-AdenoCA::S.13,Eso-AdenoCA::S.14,Eso-AdenoCA::S.15,Eso-AdenoCA::S.16,Eso-AdenoCA::S.17,Eso-AdenoCA::S.18,Eso-AdenoCA::S.19,Eso-AdenoCA::S.20,Eso-AdenoCA::S.21,Eso-AdenoCA::S.22,Eso-AdenoCA::S.23,Eso-AdenoCA::S.24,Eso-AdenoCA::S.25,Eso-AdenoCA::S.26,Eso-AdenoCA::S.27,Eso-AdenoCA::S.28,Eso-AdenoCA::S.29,Eso-AdenoCA::S.30,Eso-AdenoCA::S.31,Eso-AdenoCA::S.32,Eso-AdenoCA::S.33,Eso-AdenoCA::S.34,Eso-AdenoCA::S.35,Eso-AdenoCA::S.36,Eso-AdenoCA::S.37,Eso-AdenoCA::S.38,Eso-AdenoCA::S.39,Eso-AdenoCA::S.40,Eso-AdenoCA::S.41,Eso-AdenoCA::S.42,Eso-AdenoCA::S.43,Eso-AdenoCA::S.44,Eso-AdenoCA::S.45,Eso-AdenoCA::S.46,Eso-AdenoCA::S.47,Eso-AdenoCA::S.48,Eso-AdenoCA::S.49,Eso-AdenoCA::S.50,Eso-AdenoCA::S.51,Eso-AdenoCA::S.52,Eso-AdenoCA::S.53,Eso-AdenoCA::S.54,Eso-AdenoCA::S.55,Eso-AdenoCA::S.56,Eso-AdenoCA::S.57,Eso-AdenoCA::S.58,Eso-AdenoCA::S.59,Eso-AdenoCA::S.60,Eso-AdenoCA::S.61,Eso-AdenoCA::S.62,Eso-AdenoCA::S.63,Eso-AdenoCA::S.64,Eso-AdenoCA::S.65,Eso-AdenoCA::S.66,Eso-AdenoCA::S.67,Eso-AdenoCA::S.68,Eso-AdenoCA::S.69,Eso-AdenoCA::S.70,Eso-AdenoCA::S.71,Eso-AdenoCA::S.72,Eso-AdenoCA::S.73,Eso-AdenoCA::S.74,Eso-AdenoCA::S.75,Eso-AdenoCA::S.76,Eso-AdenoCA::S.77,Eso-AdenoCA::S.78,Eso-AdenoCA::S.79,Eso-AdenoCA::S.80,Eso-AdenoCA::S.81,Eso-AdenoCA::S.82,Eso-AdenoCA::S.83,Eso-AdenoCA::S.84,Eso-AdenoCA::S.85,Eso-AdenoCA::S.86,Eso-AdenoCA::S.87,Eso-AdenoCA::S.88,Eso-AdenoCA::S.89,Eso-AdenoCA::S.90,Eso-AdenoCA::S.91,Eso-AdenoCA::S.92,Eso-AdenoCA::S.93,Eso-AdenoCA::S.94,Eso-AdenoCA::S.95,Eso-AdenoCA::S.96,Eso-AdenoCA::S.97,Eso-AdenoCA::S.98,Eso-AdenoCA::S.99,Eso-AdenoCA::S.100
SBS1,2004.4185362200478,396.9314870462138,924.1316886582712,2343.9501005494694,3745.644408066732,1300.2182262283598,1431.1461062267601,3417.1902257489696,1584.1360905171023,1040.3498669033875,4577.272096923953,2810.2598155406386,1292.2130820816758,1946.2906154026696,2445.831255875082,3521.5120274494834,1750.1410128080543,1311.3657365801778,2842.043195536351,1116.5829215242368,1168.6190786128955,1576.1413894412424,2014.8607540750072,1564.0271791273153,1377.5252160776643,1230.8695485537376,2734.3441275094474,691.6265656395607,1805.4505145435544,1704.4727382019744,1338.422191145252,825.539301929798,1130.4048210396222,1175.322061224915,1795.5517042771687,961.873466389216,721.4097110781511,2926.471612237391,3415.5581813389954,966.1740683752564,1370.5848823544002,2621.3189417863896,2680.6306888624213,783.6732217090993,2506.826362174104,1079.415061353337,1819.8158276587176,252.9928124330658,1083.060900582278,584.7259361583195,1409.117910254573,1302.8610823811644,1612.8394397677057,1260.2289623240156,559.7993457375853,1389.5246547063898,4078.7100101541732,2223.71527418016,765.0472042951221,1256.4254911965538,3917.2791986675425,2662.735911902168,1110.6154826916286,1525.1073590613635,603.4945944983593,1092.326339220881,2855.7461606623206,1953.0489161891815,1741.0650908029418,2879.7445442381336,812.1948999625334,3490.1062098995617,1118.3430401558896,1122.569560034941,1903.3809555461983,2389.953852421678,1375.761494866191,1167.3647426241787,3573.1232712180017,796.1709580382221,1487.8964264146866,4189.962294865666,489.0462860505513,1507.1540122134702,399.52681313155483,852.3591913213334,3467.736652686015,644.8881932675109,2006.2963151163597,656.7795569312532,1871.3730587860734,1279.3733454462717,786.2777572377543,963.8858438116599,1400.8314650126804,1524.7024606017326,2887.345434320288,1971.4898427894955,1170.6345115386548,1705.0988237393703
SBS2,0.0,0.0,0.0,467.5104782183412,0.0,0.0,2616.2762484127206,0.0,0.0,0.0,0.0,2039.8775433261887,1353.571133327895,517.6388712600954,0.0,1468.317947237098,0.0,0.0,0.0,911.8212142690246,0.0,0.0,0.0,0.0,0.0,0.0,495.22755464918566,2230.6843098365407,1401.7824423412358,463.36200623436406,0.0,654.6638264030619,0.0,0.0,0.0,0.0,0.0,398.9230493172114,0.0,0.0,3053.501533542485,0.0,0.0,704.6143671623844,0.0,0.0,0.0,0.0,0.0,1383.6663108424195,0.0,0.0,0.0,0.0,0.0,140.68810859589246,0.0,373.4519189936125,0.0,0.0,0.0,1501.768771890803,0.0,572.506845410714,349.990477148787,1238.012005116694,0.0,729.5427352899598,0.0,0.0,654.2035175014877,0.0,0.0,0.0,0.0,596.5086592439673,0.0,1235.5389569846748,415.98870723833033,0.0,1314.8441240960171,0.0,0.0,0.0,380.21135992457744,641.3864531935311,2374.02401907992,264.2397794466734,0.0,0.0,0.0,0.0,411.087514670187,1799.6395129920807,0.0,1200.138694392212,0.0,0.0,0.0,0.0
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5374.474203964398,0.0,7378.115016038799,2116.7566605215507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.17168267882926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7594.096848020628,2732.1032887338265,0.0,0.0,9924.642200534454,0.0,0.0,0.0,2945.6930880765476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.1414621411564,0.0,0.0,5225.291761921269,0.0,0.0,0.0,0.0,0.0,10713.039534364774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.7005720342249,7584.253942024663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765.6820469431186,0.0,0.0,11821.596960351979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7332.023805099819,0.0
SBS5,6680.806218369879,6482.561522705893,0.0,4143.797623763657,1347.6505056050557,3534.0549635800526,3877.3830965312886,16519.657159411607,10886.401489963311,6014.7319014112745,0.0,13372.585853503042,6378.947787111572,0.0,4146.175706654694,0.0,11412.859024219348,4660.66319143175,3960.1466734226924,8364.122179860966,6527.949461549258,0.0,2296.641806019983,5730.67662830422,1908.933355172776,9326.543936515842,0.0,6385.0941790035,3407.5944553463346,0.0,16274.342532895473,0.0,5669.114219896144,0.0,0.0,31856.168273934687,3976.6008757914046,11697.366524336423,6767.215720700431,2210.9552182567336,4577.256546237273,14146.720994368166,6742.362386453164,4947.209038841251,13050.567509294984,7184.539113905166,0.0,3357.2301724814647,36198.291837962555,8911.781382997582,15824.318750658067,6259.145373709612,6580.445445241439,2153.134176196797,13761.91966509587,7334.326643739676,349.1014128115153,9549.078196807546,9396.096376360136,6318.993461442142,0.0,0.0,2676.4724369344167,0.0,8015.161943311858,19111.082864154436,0.0,4577.390518622526,0.0,0.0,1487.4621173589996,3602.6205566286285,0.0,6648.569774207254,0.0,0.0,2467.6005695531367,21464.722826421512,0.0,11056.90123889422,7853.5638584466205,6756.5995468336905,14094.90252087494,2989.42883763182,6053.26273948717,23157.563205285755,7229.915850971491,8022.841540210192,0.0,29933.662213546366,12756.832934244283,20947.774710170055,2660.491786675986,22255.843750899225,1535.188109420098,1121.8131356220147,3991.6269339943133,4129.135810301248,13465.726220283585,12805.914296365303
SBS13,0.0,2219.3776478882755,0.0,548.774972836753,0.0,1292.5011695293238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.7530431803402,0.0,0.0,0.0,0.0,0.0,570.1069508302223,0.0,756.0971780765811,278.7811390132181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.964058358797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.01708500866016,1829.7623910214108,0.0,0.0,678.3797723717374,2004.368177550632,1633.3275889961194,0.0,1540.3118656806557,246.90077097078313,752.0670308083855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.6880924955017,0.0,0.0,0.0,0.0,264.302005325541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.962588114849,628.9440423728859,0.0,0.0,0.0,1288.8598651567122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.2089498168323,0.0,0.0
SBS17a,1762.1143279555474,24348.215767093043,0.0,4336.484488847296,1964.1677525193666,3602.2455513566188,6992.555423442986,1599.7622936270166,3067.3209778205787,2974.445704687204,1811.5741123795526,6058.425583496609,547.0932498449208,2826.8283268475816,5771.694859043599,9364.775601797337,697.9043185251498,2842.2942692501165,3625.3042315954017,1501.026397184779,9152.287749127612,3131.917299872993,9264.276579788118,9759.039190963165,17548.7201902957,4287.304574033043,8079.646633643938,1001.0436545177208,0.0,3773.4322800159202,3800.880558276906,9647.440927804015,2893.851907820176,1378.2699833454042,2782.172996519589,6419.630842755965,0.0,0.0,0.0,1849.339507347653,498.1183182867899,7258.793231280234,0.0,0.0,4840.6941124272325,3087.981498295588,6200.004773541571,2303.3296608011624,7693.63096881231,3926.0605615509526,4395.434534320544,16771.14286229952,7413.92409789611,194.30224661880683,1028.2663134436564,959.8019074016356,3349.0047193608475,1408.0018864878825,1709.869192618439,9181.69247712625,9475.781057073144,10393.19780338625,3086.387235514113,227.95039397778754,0.0,1575.9788813852483,3676.1996899361216,4839.404963765661,9605.209646240437,8872.527529598789,2754.5251531499384,16572.356399772667,1052.9002748040843,11720.581952597659,12149.324173799827,0.0,4619.595982550703,0.0,1353.3093215557446,1442.7051766885154,22319.56445821706,2452.779067428625,717.8650738368985,3365.8871883464426,3979.1378043595655,0.0,2714.5088367137723,2369.1579052447332,703.3979802725767,1768.4138323774846,499.2441401089792,6370.619491707361,0.0,2562.552393431047,0.0,12935.276663603068,5088.767289197461,2147.0531928402506,5492.313208837806,4550.794694105069
SBS17b,168.51807936786068,2287.676427344201,8680.901151006183,277.9242503558539,0.0,66459.22507053068,11333.514104606073,4180.394782926553,13585.597682709064,7973.315848867772,6508.7347111080035,8049.059439008376,18335.710680706434,37631.00459697785,0.0,2258.018857972993,2919.06351484619,1247.1456460351167,727.3802351631106,78111.75689858363,37127.68479783374,457.7003542439327,0.0,8579.078072361288,3172.9145497501154,5005.148245416906,3416.444316798055,12895.469831291557,1445.602687899465,3293.774590040795,15223.105945541278,13796.59926057912,867.487861726164,8294.53178311631,1122.2546012949388,8660.270704430332,4981.13236357379,11476.097777237052,0.0,7129.873786266196,2969.1281433371264,1659.531615009542,1639.7024677737295,11491.935339846115,10996.830837214833,5236.783582896872,6713.104180915774,4771.292937458919,4757.287410758296,16742.072434910817,4867.082045899115,8710.02485431836,4580.404827702047,10761.797060133402,21830.934884756516,1314.7167829410891,2460.2366979766985,27295.458223358633,10394.100065130462,2692.9717947767826,5210.041908911018,5755.3283518878,6247.832485919529,9659.631901837563,3038.2221214491547,15246.475337425101,17463.162990231045,6175.666620158959,0.0,12074.573950651926,3616.232117483854,3525.7201954658585,7073.498294733099,561.7595487598455,2848.299233167033,1220.8862870394246,601.6052170443797,0.0,2431.0123453613564,10539.936195388414,2137.666902737953,6996.683101041942,8083.474494630705,19618.57595646999,15893.524351492202,17350.900380092156,17270.6166180212,646.137751253796,13338.565518174362,12646.744842186206,0.0,5694.305643187254,2004.6395596952325,17680.691372284422,425.41548103474565,0.0,2015.361877702946,5033.042155687249,0.0,2488.462518212451
SBS18,2043.0438002301692,0.0,4653.748436203468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.0606413860037,1744.1185334549718,0.0,3394.96625281756,0.0,0.0,0.0,0.0,0.0,609.39113610199,0.0,4017.4447900779505,0.0,3811.501476475932,2216.669962304317,0.0,0.0,0.0,0.0,1730.9655041581436,2755.6606465757723,0.0,1784.502402168858,0.0,0.0,2046.3610456648958,2340.4367545915306,1230.2079924311965,0.0,924.784558066701,0.0,0.0,0.0,0.0,1478.8966731650053,0.0,0.0,0.0,0.0,7490.433939686334,8531.499617770434,2243.3751370042,0.0,0.0,0.0,0.0,0.0,1118.7724794480391,0.0,4309.629024047513,0.0,0.0,2495.270149820437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5756.67091224791,0.0,1975.5115713138657,0.0,0.0,0.0,0.0,0.0,0.0,6284.505287516713,6309.841956741803,0.0,0.0,0.0,0.0,0.0,5259.932917697024,3010.5276544268904,0.0,4628.894112847561,0.0,0.0,4409.205299763902,5244.031034415462,0.0,0.0,852.7455280558814,2319.5998720699467,5643.4275796045185,4396.631763078904
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.8291479477057,0.0,0.0,1173.0316507808939,0.0,10136.775767779789,688.0289762577886,0.0,0.0,0.0,0.0,7460.21974674827,6390.828330602028,1080.4472489327065,0.0,0.0,0.0,2051.381548354222,0.0,0.0,1957.240478537869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.5298713620264,0.0,0.0,0.0,0.0,7944.730787318041,0.0,0.0,0.0,0.0,0.0,0.0,2560.835498372986,0.0,0.0,0.0,0.0,370.7689611110584,0.0,1528.8932115934067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.7428114418135,0.0,0.0,0.0,0.0,0.0,230.52017768391465,0.0,0.0,0.0,976.0276124753532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133.963137207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,6563.897106832604,15940.591873211748,6810.561117059436,0.0,17650.27157063516,0.0,0.0,0.0,6779.508066958726,20063.49511886681,3847.4136880176256,9340.215768938668,0.0,25345.137605159154,0.0,13468.65452204407,0.0,12599.444702247778,0.0,0.0,0.0,9676.126821150872,0.0,5491.619040230462,7949.927731173331,15206.575845463056,4972.930400697807,6606.137080149707,0.0,9460.323706949508,0.0,16862.131394950604,0.0,0.0,15875.132780716278,9148.609850214172,18020.596126750046,0.0,14742.388057496759,0.0,8801.608885656102,0.0,13670.116861241098,0.0,0.0,3698.5038095225673,0.0,3147.6474654558697,0.0,0.0,0.0,8397.107869235773,14061.086619545786,0.0,0.0,0.0,0.0,0.0,10209.74198463043,0.0,0.0,0.0,0.0,5793.747314914958,5201.015129335258,0.0,11201.736869328663,14414.280237393821,7357.757187562056,6181.649024188559,5455.6450627919585,5076.26233718322,14663.281260160444,9268.07278142827,0.0,6339.454203915569,0.0,9611.438306874352,16099.021476538628,5142.31280000371,0.0,8786.089144154923,3482.141277353774,15366.648647026585,6895.559814043025,0.0,0.0,0.0,12639.069917806566,4063.2404706623984,3636.1971858190886,0.0,19623.120931428344,0.0,11888.467721378198,12930.359395317832,6319.951017257367,0.0,0.0,0.0
