Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS13	SBS18	SBS35	SBS39	SBS40	SBS41
Ovary-AdenoCA::S.1	440	0	5443	634	0	0	0	0	0	0	0
Ovary-AdenoCA::S.2	1133	0	4450	1020	0	0	1329	0	0	0	0
Ovary-AdenoCA::S.3	935	0	2619	1726	0	0	0	0	0	0	0
Ovary-AdenoCA::S.4	674	264	1989	1876	0	415	0	0	0	0	0
Ovary-AdenoCA::S.5	318	0	7219	1621	0	0	0	0	0	5553	0
Ovary-AdenoCA::S.6	268	0	7349	2197	0	0	0	0	0	0	0
Ovary-AdenoCA::S.7	319	223	2741	2162	0	0	0	0	0	0	0
Ovary-AdenoCA::S.8	432	0	2244	3528	0	0	0	0	0	0	0
Ovary-AdenoCA::S.9	496	0	2958	0	0	485	853	0	0	2293	0
Ovary-AdenoCA::S.10	308	0	0	446	0	1604	0	0	0	5564	0
Ovary-AdenoCA::S.11	527	0	4288	76	0	0	0	0	0	6089	0
Ovary-AdenoCA::S.12	445	0	2353	1010	0	0	0	0	0	0	0
Ovary-AdenoCA::S.13	601	913	0	1636	0	423	0	0	0	6251	0
Ovary-AdenoCA::S.14	563	0	1925	591	0	0	678	0	0	2686	0
Ovary-AdenoCA::S.15	652	0	0	2215	0	0	0	0	0	6756	0
Ovary-AdenoCA::S.16	454	0	0	2408	0	580	0	0	0	0	0
Ovary-AdenoCA::S.17	411	328	2713	1243	0	316	0	0	0	0	0
Ovary-AdenoCA::S.18	212	0	2247	147	0	0	2000	0	0	0	0
Ovary-AdenoCA::S.19	710	420	5256	2656	0	0	0	0	0	0	0
Ovary-AdenoCA::S.20	656	0	0	3887	0	0	1125	0	0	0	0
Ovary-AdenoCA::S.21	307	0	9056	5366	0	0	0	0	0	0	0
Ovary-AdenoCA::S.22	662	0	9632	6238	0	0	0	0	0	0	0
Ovary-AdenoCA::S.23	437	0	5615	301	0	0	1891	0	0	0	0
Ovary-AdenoCA::S.24	189	0	5364	1423	0	829	0	0	0	0	0
Ovary-AdenoCA::S.25	350	0	0	759	0	0	0	0	0	5799	0
Ovary-AdenoCA::S.26	342	490	0	2512	0	0	0	0	0	6544	0
Ovary-AdenoCA::S.27	625	0	5830	1159	0	0	1575	0	0	0	0
Ovary-AdenoCA::S.28	208	0	7042	2122	0	0	0	0	0	4097	0
Ovary-AdenoCA::S.29	337	443	3015	706	0	0	0	0	0	0	0
Ovary-AdenoCA::S.30	609	0	4419	490	0	0	0	0	0	3263	0
Ovary-AdenoCA::S.31	462	78	2391	1112	0	562	0	0	0	0	0
Ovary-AdenoCA::S.32	454	259	6459	874	0	1454	0	0	0	4896	0
Ovary-AdenoCA::S.33	512	378	5491	200	0	0	0	0	0	0	0
Ovary-AdenoCA::S.34	443	0	12653	5197	0	0	0	0	0	0	0
Ovary-AdenoCA::S.35	886	0	3156	2628	0	313	0	0	0	0	0
Ovary-AdenoCA::S.36	687	321	1028	434	0	0	0	0	0	0	0
Ovary-AdenoCA::S.37	1190	0	7280	171	0	656	0	0	0	0	0
Ovary-AdenoCA::S.38	655	0	5468	318	0	0	0	0	0	0	0
Ovary-AdenoCA::S.39	787	0	0	632	0	0	0	0	0	0	0
Ovary-AdenoCA::S.40	783	0	0	2418	0	0	0	0	0	9924	0
Ovary-AdenoCA::S.41	838	184	3512	865	0	614	0	0	0	3327	0
Ovary-AdenoCA::S.42	413	0	1675	2181	0	0	0	0	0	0	0
