Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40	SBS44
ColoRect-AdenoCA::MSI-H.S.1	4963	21883	0	0	0	0	0	0	0	0	0	39476
ColoRect-AdenoCA::MSI-H.S.2	19772	17393	0	0	0	0	0	0	0	0	0	46989
ColoRect-AdenoCA::MSI-H.S.3	13659	10773	0	0	0	0	0	0	0	0	0	42443
ColoRect-AdenoCA::MSI-H.S.4	13086	46780	0	0	0	0	0	0	0	0	0	33609
ColoRect-AdenoCA::MSI-H.S.5	6565	41773	0	0	0	0	0	0	0	0	0	58142
ColoRect-AdenoCA::MSI-H.S.6	18547	38017	0	0	0	0	0	0	0	0	0	79550
ColoRect-AdenoCA::MSI-H.S.7	26419	28100	0	0	0	0	0	0	0	0	0	39917
ColoRect-AdenoCA::MSI-H.S.8	3206	56637	0	0	0	0	0	0	0	0	0	63420
ColoRect-AdenoCA::MSI-H.S.9	9857	40119	0	0	0	0	0	0	0	0	0	71574
ColoRect-AdenoCA::MSI-H.S.10	10472	65063	0	0	0	0	0	0	0	0	0	45340
ColoRect-AdenoCA::MSI-H.S.11	3180	13679	0	0	0	0	0	0	0	0	0	7497
ColoRect-AdenoCA::MSI-H.S.12	19622	34070	0	0	0	0	0	0	0	0	0	88277
ColoRect-AdenoCA::MSI-H.S.13	16499	32348	0	0	0	0	0	0	0	0	0	40326
ColoRect-AdenoCA::MSI-H.S.14	21006	10162	0	0	0	0	0	0	0	0	0	25898
ColoRect-AdenoCA::MSI-H.S.15	46296	29971	0	0	0	0	0	0	0	0	0	26244
ColoRect-AdenoCA::MSI-H.S.16	3246	23109	0	0	16507	0	0	0	0	32573	0	69935
