Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,sum_sens_spec,cancer.type
Breast-AdenoCA::S.1,deconstruct,2406.56183049487,0.383454721238825,0.6,0.75,0.666666666666667,1.96654527876118,0.875,0.78831323941145,0.920315824577381,1.475,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct,1371.96129106918,0.144249951747364,0.4,1,0.571428571428571,2.25575004825264,1,0.931551167850116,0.391489823687707,1.4,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct,540.172821130067,0.24136408450852,1,0.8,0.888888888888889,2.55863591549148,0.888888888888889,0.83898295878142,0.254832233896543,1.88888888888889,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct,607.751690804681,0.0758173266971907,0.75,1,0.857142857142857,2.67418267330281,1,0.943771955972517,0.307357308837829,1.75,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct,1280.20861568515,0.268387550458103,0.6,0.75,0.666666666666667,2.0816124495419,0.875,0.866102204698238,0.655052401346684,1.475,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct,7940.32044488449,0.598546694171905,0.5,0.75,0.6,1.6514533058281,0.857142857142857,0.680179245766135,0.968269357880132,1.35714285714286,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct,751.605624919568,0.226660321145829,0.75,0.75,0.75,2.27333967885417,0.888888888888889,0.856643560644458,0.205549493096294,1.63888888888889,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct,223.283119952366,0.0514477234913286,1,1,1,2.94855227650867,1,0.96502037810318,0.0030377025156713,2,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct,2601.38860093535,0.210980421811464,0.5,1,0.666666666666667,2.28901957818854,1,0.88633747725707,0.11778976862732,1.5,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct,1624.52262413484,0.276279357846062,0.5,1,0.666666666666667,2.22372064215394,1,0.876270102997325,0.777397058299949,1.5,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct,144.956439450465,0.0579593920233767,0.75,1,0.857142857142857,2.69204060797662,1,0.964104704598913,0.103274020879277,1.75,Breast-AdenoCA
Breast-AdenoCA::S.12,deconstruct,1418.8414775457,0.408064848301898,1,1,1,2.5919351516981,1,0.727387491438881,0.246571890948531,2,Breast-AdenoCA
Breast-AdenoCA::S.13,deconstruct,3618.69472850248,0.439002150734257,0.4,0.666666666666667,0.5,1.62766451593241,0.875,0.785264168967958,1.24436606864622,1.275,Breast-AdenoCA
Breast-AdenoCA::S.14,deconstruct,1057.68477148868,0.16339947033658,0.75,1,0.857142857142857,2.58660052966342,1,0.893647504708833,0.275594165167655,1.75,Breast-AdenoCA
Breast-AdenoCA::S.15,deconstruct,556.209969637877,0.0553057541650469,0.75,1,0.857142857142857,2.69469424583495,1,0.967565281292576,0.0138634408772395,1.75,Breast-AdenoCA
Breast-AdenoCA::S.16,deconstruct,78.579519372196,0.0645152047390772,1,1,1,2.93548479526092,1,0.947412735599802,0.00300941114287599,2,Breast-AdenoCA
Breast-AdenoCA::S.17,deconstruct,209.811686111966,0.0655661519099894,1,1,1,2.93443384809001,1,0.957738559125896,0.00507978863936742,2,Breast-AdenoCA
Breast-AdenoCA::S.18,deconstruct,1152.55969822645,0.298435965361587,0.6,0.75,0.666666666666667,2.05156403463841,0.875,0.846703953642626,0.494897765541844,1.475,Breast-AdenoCA
Breast-AdenoCA::S.19,deconstruct,375.11649147497,0.0962824670110293,0.25,1,0.4,2.15371753298897,1,0.932449101871844,0.383138338771274,1.25,Breast-AdenoCA
Breast-AdenoCA::S.20,deconstruct,592.37307638178,0.152046477510724,0.5,1,0.666666666666667,2.34795352248928,1,0.90710281577512,0.673517134822125,1.5,Breast-AdenoCA
Breast-AdenoCA::S.21,deconstruct,483.933666995813,0.0847519556910356,1,1,1,2.91524804430896,1,0.945282392102566,0.00600949157345743,2,Breast-AdenoCA
Breast-AdenoCA::S.22,deconstruct,343.631217245728,0.129184668137492,0.5,1,0.666666666666667,2.37081533186251,1,0.914851737767675,0.25009850629314,1.5,Breast-AdenoCA
Breast-AdenoCA::S.23,deconstruct,1814.21022032916,0.162782433407731,0.666666666666667,1,0.8,2.50388423325894,1,0.922855997091342,0.204186391266654,1.66666666666667,Breast-AdenoCA
Breast-AdenoCA::S.24,deconstruct,581.544418181329,0.10222260822312,0.8,1,0.888888888888889,2.69777739177688,1,0.936246074234494,0.016030431400225,1.8,Breast-AdenoCA
