Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Breast-AdenoCA,MuSiCal,1,2.78694244728955
Breast-AdenoCA,PASA,2,2.74923581435344
Breast-AdenoCA,MSA,3,2.71634899889335
Breast-AdenoCA,SigPro,4,2.70541022283044
Breast-AdenoCA,FitMS,5,2.67295181166358
Breast-AdenoCA,MutPat,6,2.59477817841303
Breast-AdenoCA,YAPSA,7,2.47830261324508
Breast-AdenoCA,SigEstQP,8,2.44573471026076
Breast-AdenoCA,SigsPack,9,2.44573471026076
Breast-AdenoCA,mutSig,10,2.43227585093281
Breast-AdenoCA,DeconSig,11,2.42718990211659
Breast-AdenoCA,sigLASSO,12,2.34933594895153
Breast-AdenoCA,sigfit,13,2.22885328744338
ColoRect-AdenoCA,PASA,1,2.8661469998096
ColoRect-AdenoCA,FitMS,2,2.85343447693629
ColoRect-AdenoCA,MuSiCal,3,2.78143280392886
ColoRect-AdenoCA,SigPro,4,2.75679554316446
ColoRect-AdenoCA,YAPSA,5,2.74331809473136
ColoRect-AdenoCA,DeconSig,6,2.74034587342227
ColoRect-AdenoCA,MutPat,7,2.69517277655846
ColoRect-AdenoCA,MSA,8,2.65361611026792
ColoRect-AdenoCA,sigLASSO,9,2.52619655164811
ColoRect-AdenoCA,mutSig,10,2.46219764227693
ColoRect-AdenoCA,SigEstQP,11,2.45861232301825
ColoRect-AdenoCA,SigsPack,11,2.45861232301825
ColoRect-AdenoCA,sigfit,13,2.29237195367046
Eso-AdenoCA,MuSiCal,1,2.75823695511447
Eso-AdenoCA,PASA,2,2.6944655318361
Eso-AdenoCA,MSA,3,2.66247111489752
Eso-AdenoCA,FitMS,4,2.61982605410523
Eso-AdenoCA,MutPat,5,2.54443802168185
Eso-AdenoCA,SigEstQP,6,2.53043890842526
Eso-AdenoCA,SigsPack,6,2.53043890842526
Eso-AdenoCA,mutSig,8,2.52776093890488
Eso-AdenoCA,SigPro,9,2.512494887931
Eso-AdenoCA,YAPSA,10,2.46350545004099
Eso-AdenoCA,sigfit,11,2.46026475340823
Eso-AdenoCA,DeconSig,12,2.43822594290414
Eso-AdenoCA,sigLASSO,13,2.30313882065054
Kidney-RCC,MuSiCal,1,2.79676421169286
Kidney-RCC,MutPat,2,2.75707961662246
Kidney-RCC,FitMS,3,2.72313017918975
Kidney-RCC,PASA,4,2.69493037190912
Kidney-RCC,MSA,5,2.6692345976345
Kidney-RCC,DeconSig,6,2.65030129525396
Kidney-RCC,YAPSA,7,2.64117960324391
Kidney-RCC,sigLASSO,8,2.54913838888146
Kidney-RCC,SigPro,9,2.44608982996833
Kidney-RCC,SigEstQP,10,2.32692562925463
Kidney-RCC,SigsPack,10,2.32692562925463
Kidney-RCC,mutSig,12,2.32638355622894
Kidney-RCC,sigfit,13,2.11651956406815
Liver-HCC,MuSiCal,1,2.67608162148615
Liver-HCC,MutPat,2,2.63364549501275
Liver-HCC,FitMS,3,2.60482787498281
Liver-HCC,DeconSig,4,2.59305135205049
Liver-HCC,SigPro,5,2.58529094120191
Liver-HCC,PASA,6,2.56097450379835
Liver-HCC,YAPSA,7,2.53341820803925
Liver-HCC,MSA,8,2.50537227478655
Liver-HCC,sigLASSO,9,2.32659310037215
Liver-HCC,mutSig,10,2.13834941994822
Liver-HCC,SigEstQP,11,2.13760688036566
Liver-HCC,SigsPack,11,2.13760688036566
Liver-HCC,sigfit,13,1.95586506550716
Lung-AdenoCA,MuSiCal,1,2.72322359060186
Lung-AdenoCA,SigPro,2,2.66512730459322
Lung-AdenoCA,MSA,3,2.59965852576297
Lung-AdenoCA,PASA,4,2.54656701947646
Lung-AdenoCA,FitMS,5,2.53658236348055
Lung-AdenoCA,MutPat,6,2.51422378000879
Lung-AdenoCA,SigEstQP,7,2.44464545503271
Lung-AdenoCA,SigsPack,7,2.44464545503271
Lung-AdenoCA,mutSig,9,2.4061347945133
Lung-AdenoCA,DeconSig,10,2.39857178445525
Lung-AdenoCA,YAPSA,11,2.39458647748607
Lung-AdenoCA,sigLASSO,12,2.29703403540993
Lung-AdenoCA,sigfit,13,2.25966410693419
Ovary-AdenoCA,MuSiCal,1,2.77270771525798
Ovary-AdenoCA,MSA,2,2.6528161790535
Ovary-AdenoCA,FitMS,3,2.64206000871957
Ovary-AdenoCA,PASA,4,2.63680871084502
Ovary-AdenoCA,MutPat,5,2.63454475587109
Ovary-AdenoCA,SigPro,6,2.62412656422405
Ovary-AdenoCA,YAPSA,7,2.50005985402865
Ovary-AdenoCA,DeconSig,8,2.46076608206049
Ovary-AdenoCA,sigLASSO,9,2.44211704269056
Ovary-AdenoCA,SigEstQP,10,2.37460124390195
Ovary-AdenoCA,SigsPack,10,2.37460124390195
Ovary-AdenoCA,mutSig,12,2.37396063843726
Ovary-AdenoCA,sigfit,13,2.21450468875509
Skin-Melanoma,PASA,1,2.59969555064399
Skin-Melanoma,MuSiCal,2,2.48922500542227
Skin-Melanoma,MSA,3,2.36699276009618
Skin-Melanoma,FitMS,4,2.32022740143016
Skin-Melanoma,SigEstQP,5,2.31612720651627
Skin-Melanoma,SigsPack,5,2.31612720651627
Skin-Melanoma,sigfit,7,2.29911151116648
Skin-Melanoma,mutSig,8,2.29283045428109
Skin-Melanoma,SigPro,9,2.25554379612631
Skin-Melanoma,DeconSig,10,2.20033374751996
Skin-Melanoma,YAPSA,11,2.18695427398198
Skin-Melanoma,MutPat,12,2.12514827513178
Skin-Melanoma,sigLASSO,13,2.09282305365526
Stomach-AdenoCA,MuSiCal,1,2.71993679732695
Stomach-AdenoCA,MSA,2,2.62451988074914
Stomach-AdenoCA,PASA,3,2.60930975556519
Stomach-AdenoCA,FitMS,4,2.5980905587356
Stomach-AdenoCA,SigPro,5,2.50718272287716
Stomach-AdenoCA,MutPat,6,2.50501971892936
Stomach-AdenoCA,SigEstQP,7,2.47913925514615
Stomach-AdenoCA,SigsPack,7,2.47913925514615
Stomach-AdenoCA,mutSig,9,2.46617248070652
Stomach-AdenoCA,YAPSA,10,2.42523238638187
Stomach-AdenoCA,DeconSig,11,2.38796520189504
Stomach-AdenoCA,sigfit,12,2.37864091711635
Stomach-AdenoCA,sigLASSO,13,2.30525341605827
