Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ColoRect-AdenoCA::S.1	7837	0.991	1218.195	15.544%	224.128	13.762%	0.02149	0.988
ColoRect-AdenoCA::S.2	14526	0.989	1820.817	12.535%	311.121	14.509%	0.01465	0.98
ColoRect-AdenoCA::S.3	9821	0.994	1201.805	12.237%	222.766	11.277%	0.01419	0.991
ColoRect-AdenoCA::S.4	3917	0.998	484.878	12.379%	77.632	6.499%	0.02303	0.998
ColoRect-AdenoCA::S.5	26340	0.989	3601.995	13.675%	511.341	14.937%	0.01599	0.971
ColoRect-AdenoCA::S.6	19277	0.978	3396.148	17.618%	537.139	20.949%	0.02502	0.945
ColoRect-AdenoCA::S.7	8242	0.99	1122.209	13.616%	224.926	13.894%	0.01648	0.987
ColoRect-AdenoCA::S.8	7446	0.994	1035.795	13.911%	164.254	10.821%	0.02064	0.992
ColoRect-AdenoCA::S.9	17470	0.987	2359.383	13.505%	422.279	15.804%	0.01429	0.977
ColoRect-AdenoCA::S.10	10731	0.986	1507.749	14.05%	280.8	16.487%	0.01647	0.977
ColoRect-AdenoCA::S.11	19325	0.988	2630.364	13.611%	432.72	15.585%	0.01385	0.975
ColoRect-AdenoCA::S.12	9569	0.996	1268.044	13.252%	251.93	9.451%	0.01694	0.995
ColoRect-AdenoCA::S.13	18693	0.951	4600.543	24.611%	943.184	31.024%	0.04619	0.919
ColoRect-AdenoCA::S.14	23531	0.978	3951.908	16.794%	640.245	20.997%	0.02393	0.94
ColoRect-AdenoCA::S.15	10023	0.992	1297.763	12.948%	194.269	12.862%	0.01398	0.985
ColoRect-AdenoCA::S.16	9615	0.963	2184.329	22.718%	493.195	27.242%	0.04341	0.947
ColoRect-AdenoCA::S.17	15045	0.989	2165.786	14.395%	328.784	14.857%	0.01765	0.979
ColoRect-AdenoCA::S.18	16500	0.994	1840.822	11.156%	261.246	11.413%	0.01086	0.986
ColoRect-AdenoCA::S.19	15052	0.995	1507.755	10.017%	249.343	9.913%	0.00885	0.992
ColoRect-AdenoCA::S.20	15784	0.983	2719.888	17.232%	427.537	18.296%	0.02423	0.968
ColoRect-AdenoCA::S.21	16273	0.991	2127.589	13.074%	334.322	13.235%	0.01571	0.985
ColoRect-AdenoCA::S.22	2915	0.985	738.355	25.33%	238.638	17.776%	0.10259	0.985
ColoRect-AdenoCA::S.23	14584	0.989	2192.16	15.031%	380.483	15.115%	0.01923	0.982
ColoRect-AdenoCA::S.24	8153	0.952	2019.367	24.768%	474.095	30.954%	0.04225	0.932
ColoRect-AdenoCA::S.25	11771	0.993	1460.837	12.41%	215.265	11.619%	0.01294	0.988
ColoRect-AdenoCA::S.26	16965	0.989	2582.598	15.223%	363.249	14.616%	0.01825	0.979
ColoRect-AdenoCA::S.27	13819	0.996	1589.538	11.503%	333.199	8.928%	0.01534	0.995
ColoRect-AdenoCA::S.28	17037	0.987	2700.098	15.848%	429.49	16.458%	0.0186	0.977
ColoRect-AdenoCA::S.29	9291	0.988	1531.782	16.487%	234.386	15.726%	0.02473	0.979
ColoRect-AdenoCA::S.30	22131	0.965	4420.947	19.976%	936.13	26.442%	0.04374	0.94
ColoRect-AdenoCA::S.31	15526	0.958	2645.513	17.039%	643.111	28.543%	0.02644	0.916
ColoRect-AdenoCA::S.32	4684	0.984	918.173	19.602%	210.309	18.001%	0.03403	0.981
ColoRect-AdenoCA::S.33	14318	0.987	2050.121	14.318%	306.111	15.937%	0.01661	0.97
ColoRect-AdenoCA::S.34	12733	0.972	2865.403	22.504%	425.621	23.812%	0.04192	0.939
ColoRect-AdenoCA::S.35	10765	0.982	1826.242	16.965%	441.224	18.754%	0.02034	0.977
ColoRect-AdenoCA::S.36	15377	0.973	3139.642	20.418%	641.482	23.322%	0.04892	0.959
ColoRect-AdenoCA::S.37	19851	0.991	2415.729	12.169%	350.001	13.2%	0.01215	0.979
ColoRect-AdenoCA::S.38	10893	0.983	2085.438	19.145%	364.469	18.26%	0.03656	0.976
ColoRect-AdenoCA::S.39	20411	0.983	3177.638	15.568%	672.759	18.58%	0.02758	0.974
ColoRect-AdenoCA::S.40	6977	0.991	999.487	14.325%	204.034	13.687%	0.01667	0.989
ColoRect-AdenoCA::S.41	19183	0.985	3165.243	16.5%	439.946	17.413%	0.02123	0.962
ColoRect-AdenoCA::S.42	16197	0.992	2013.382	12.431%	283.734	12.87%	0.01238	0.981
ColoRect-AdenoCA::S.43	18755	0.985	2867.98	15.292%	457.71	17.491%	0.01837	0.967
ColoRect-AdenoCA::S.44	22350	0.983	3401.171	15.218%	536.588	18.255%	0.01734	0.957
ColoRect-AdenoCA::S.45	17719	0.971	3248.665	18.334%	564.651	23.807%	0.02768	0.93
ColoRect-AdenoCA::S.46	9308	0.983	1676.752	18.014%	251.592	18.976%	0.02784	0.967
ColoRect-AdenoCA::S.47	15047	0.977	2970.253	19.74%	481.133	21.203%	0.03531	0.958
ColoRect-AdenoCA::S.48	25192	0.986	3794.351	15.062%	541.359	16.952%	0.01635	0.959
ColoRect-AdenoCA::S.49	18627	0.982	3323.695	17.843%	528.879	18.898%	0.02255	0.966
ColoRect-AdenoCA::S.50	15216	0.994	1882.842	12.374%	373.955	11.325%	0.01437	0.992
ColoRect-AdenoCA::S.51	8764	0.966	1663.001	18.975%	384.252	25.833%	0.02876	0.946
ColoRect-AdenoCA::S.52	7055	0.949	1972.367	27.957%	589.241	31.49%	0.05333	0.94
ColoRect-AdenoCA::S.53	18441	0.974	3539.561	19.194%	581.949	22.792%	0.02768	0.942
ColoRect-AdenoCA::S.54	14727	0.978	2905.076	19.726%	501.093	21.123%	0.02932	0.963
ColoRect-AdenoCA::S.55	11031	0.994	1607.703	14.574%	335.206	11.061%	0.02097	0.993
ColoRect-AdenoCA::S.56	11163	0.993	1505.166	13.484%	224.931	12.125%	0.01587	0.988
ColoRect-AdenoCA::S.57	14441	0.984	2472.632	17.122%	378.783	18.027%	0.021	0.968
ColoRect-AdenoCA::S.58	10549	0.989	1591.547	15.087%	320.043	14.708%	0.01833	0.986
ColoRect-AdenoCA::S.59	16150	0.983	3295.892	20.408%	485.203	18.771%	0.04302	0.973
ColoRect-AdenoCA::S.60	13950	0.976	2601.975	18.652%	424.962	21.666%	0.03032	0.949
