Samples	SBS1	SBS4	SBS5	SBS9	SBS12	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS22a	SBS24	SBS29	SBS30	SBS31	SBS35	SBS40
Liver-HCC::S.1	0	2924	5038	0	0	0	0	0	0	0	0	0	1539	0	0	0	0
Liver-HCC::S.2	52	4327	5002	0	0	0	0	0	0	0	0	0	0	0	0	0	6145
Liver-HCC::S.3	0	0	13432	0	2290	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.4	0	0	8145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.5	137	2103	2620	0	0	2174	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.6	270	0	9391	0	0	0	0	0	0	0	0	0	0	0	0	0	5716
Liver-HCC::S.7	35	0	3394	0	2736	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.8	141	0	6829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.9	89	0	8923	0	2051	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.10	138	0	11257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.11	9	2459	11064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.12	182	2082	2229	0	1225	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.13	192	0	20122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.14	154	0	3925	0	2658	0	0	0	0	0	0	0	0	0	0	0	5978
Liver-HCC::S.15	79	0	1247	0	0	0	0	0	0	0	0	0	1547	0	0	0	2408
Liver-HCC::S.16	75	0	10799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.17	6	0	6729	0	5730	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.18	508	0	3126	0	1576	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.19	316	0	9889	0	1818	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.20	30	0	4172	0	2156	1003	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.21	0	0	14760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.22	4	0	1861	0	3055	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.23	0	0	6378	0	4658	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.24	0	0	3749	0	0	0	0	0	0	0	0	0	0	1260	0	0	0
Liver-HCC::S.25	103	0	10548	0	2263	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.26	39	0	8471	0	3532	0	0	0	0	0	0	0	0	0	0	0	0
